Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,305,17.4642,287.536,322.464
2,-0.97,159,12.6095,146.39,171.61
3,-0.95,109,10.4403,98.5597,119.44
4,-0.93,67,8.18535,58.8146,75.1854
5,-0.91,65,8.06226,56.9377,73.0623
6,-0.89,53,7.28011,45.7199,60.2801
7,-0.87,41,6.40312,34.5969,47.4031
8,-0.85,36,6,30,42
9,-0.83,41,6.40312,34.5969,47.4031
10,-0.81,36,6,30,42
11,-0.79,44,6.63325,37.3668,50.6332
12,-0.77,32,5.65685,26.3431,37.6569
13,-0.75,34,5.83095,28.169,39.831
14,-0.73,21,4.58258,16.4174,25.5826
15,-0.71,27,5.19615,21.8038,32.1962
16,-0.69,29,5.38516,23.6148,34.3852
17,-0.67,20,4.47214,15.5279,24.4721
18,-0.65,35,5.91608,29.0839,40.9161
19,-0.63,36,6,30,42
20,-0.61,18,4.24264,13.7574,22.2426
21,-0.59,20,4.47214,15.5279,24.4721
22,-0.57,27,5.19615,21.8038,32.1962
23,-0.55,25,5,20,30
24,-0.53,30,5.47723,24.5228,35.4772
25,-0.51,25,5,20,30
26,-0.49,27,5.19615,21.8038,32.1962
27,-0.47,19,4.3589,14.6411,23.3589
28,-0.45,28,5.2915,22.7085,33.2915
29,-0.43,30,5.47723,24.5228,35.4772
30,-0.41,22,4.69042,17.3096,26.6904
31,-0.39,19,4.3589,14.6411,23.3589
32,-0.37,26,5.09902,20.901,31.099
33,-0.35,20,4.47214,15.5279,24.4721
34,-0.33,22,4.69042,17.3096,26.6904
35,-0.31,24,4.89898,19.101,28.899
36,-0.29,24,4.89898,19.101,28.899
37,-0.27,22,4.69042,17.3096,26.6904
38,-0.25,25,5,20,30
39,-0.23,20,4.47214,15.5279,24.4721
40,-0.21,33,5.74456,27.2554,38.7446
41,-0.19,29,5.38516,23.6148,34.3852
42,-0.17,27,5.19615,21.8038,32.1962
43,-0.15,31,5.56776,25.4322,36.5678
44,-0.13,23,4.79583,18.2042,27.7958
45,-0.11,23,4.79583,18.2042,27.7958
46,-0.09,31,5.56776,25.4322,36.5678
47,-0.07,26,5.09902,20.901,31.099
48,-0.05,31,5.56776,25.4322,36.5678
49,-0.03,22,4.69042,17.3096,26.6904
50,-0.01,13,3.60555,9.39445,16.6056
51,0.01,44,6.63325,37.3668,50.6332
52,0.03,13,3.60555,9.39445,16.6056
53,0.05,15,3.87298,11.127,18.873
54,0.07,30,5.47723,24.5228,35.4772
55,0.09,28,5.2915,22.7085,33.2915
56,0.11,22,4.69042,17.3096,26.6904
57,0.13,21,4.58258,16.4174,25.5826
58,0.15,22,4.69042,17.3096,26.6904
59,0.17,20,4.47214,15.5279,24.4721
60,0.19,28,5.2915,22.7085,33.2915
61,0.21,28,5.2915,22.7085,33.2915
62,0.23,24,4.89898,19.101,28.899
63,0.25,18,4.24264,13.7574,22.2426
64,0.27,35,5.91608,29.0839,40.9161
65,0.29,27,5.19615,21.8038,32.1962
66,0.31,33,5.74456,27.2554,38.7446
67,0.33,32,5.65685,26.3431,37.6569
68,0.35,30,5.47723,24.5228,35.4772
69,0.37,33,5.74456,27.2554,38.7446
70,0.39,39,6.245,32.755,45.245
71,0.41,40,6.32456,33.6754,46.3246
72,0.43,51,7.14143,43.8586,58.1414
73,0.45,45,6.7082,38.2918,51.7082
74,0.47,38,6.16441,31.8356,44.1644
75,0.49,36,6,30,42
76,0.51,58,7.61577,50.3842,65.6158
77,0.53,58,7.61577,50.3842,65.6158
78,0.55,66,8.12404,57.876,74.124
79,0.57,46,6.78233,39.2177,52.7823
80,0.59,56,7.48331,48.5167,63.4833
81,0.61,66,8.12404,57.876,74.124
82,0.63,67,8.18535,58.8146,75.1854
83,0.65,78,8.83176,69.1682,86.8318
84,0.67,68,8.24621,59.7538,76.2462
85,0.69,79,8.88819,70.1118,87.8882
86,0.71,64,8,56,72
87,0.73,78,8.83176,69.1682,86.8318
88,0.75,87,9.32738,77.6726,96.3274
89,0.77,103,10.1489,92.8511,113.149
90,0.79,104,10.198,93.802,114.198
91,0.81,128,11.3137,116.686,139.314
92,0.83,111,10.5357,100.464,121.536
93,0.85,161,12.6886,148.311,173.689
94,0.87,196,14,182,210
95,0.89,221,14.8661,206.134,235.866
96,0.91,238,15.4272,222.573,253.427
97,0.93,360,18.9737,341.026,378.974
98,0.95,427,20.664,406.336,447.664
99,0.97,703,26.5141,676.486,729.514
100,0.99,1300,36.0555,1263.94,1336.06
