Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,66,8.12404,57.876,74.124
2,-0.97,17,4.12311,12.8769,21.1231
3,-0.95,11,3.31662,7.68338,14.3166
4,-0.93,9,3,6,12
5,-0.91,3,1.73205,1.26795,4.73205
6,-0.89,6,2.44949,3.55051,8.44949
7,-0.87,3,1.73205,1.26795,4.73205
8,-0.85,5,2.23607,2.76393,7.23607
9,-0.83,4,2,2,6
10,-0.81,1,1,0,2
11,-0.79,1,1,0,2
12,-0.77,6,2.44949,3.55051,8.44949
13,-0.75,4,2,2,6
14,-0.73,1,1,0,2
15,-0.71,0,0,0,0
16,-0.69,1,1,0,2
17,-0.67,2,1.41421,0.585786,3.41421
18,-0.65,2,1.41421,0.585786,3.41421
19,-0.63,1,1,0,2
20,-0.61,0,0,0,0
21,-0.59,1,1,0,2
22,-0.57,0,0,0,0
23,-0.55,0,0,0,0
24,-0.53,2,1.41421,0.585786,3.41421
25,-0.51,1,1,0,2
26,-0.49,1,1,0,2
27,-0.47,4,2,2,6
28,-0.45,1,1,0,2
29,-0.43,1,1,0,2
30,-0.41,0,0,0,0
31,-0.39,2,1.41421,0.585786,3.41421
32,-0.37,0,0,0,0
33,-0.35,1,1,0,2
34,-0.33,0,0,0,0
35,-0.31,1,1,0,2
36,-0.29,0,0,0,0
37,-0.27,0,0,0,0
38,-0.25,0,0,0,0
39,-0.23,0,0,0,0
40,-0.21,1,1,0,2
41,-0.19,0,0,0,0
42,-0.17,0,0,0,0
43,-0.15,1,1,0,2
44,-0.13,0,0,0,0
45,-0.11,1,1,0,2
46,-0.09,1,1,0,2
47,-0.07,0,0,0,0
48,-0.05,2,1.41421,0.585786,3.41421
49,-0.03,2,1.41421,0.585786,3.41421
50,-0.01,0,0,0,0
51,0.01,3,1.73205,1.26795,4.73205
52,0.03,1,1,0,2
53,0.05,0,0,0,0
54,0.07,0,0,0,0
55,0.09,0,0,0,0
56,0.11,1,1,0,2
57,0.13,1,1,0,2
58,0.15,2,1.41421,0.585786,3.41421
59,0.17,2,1.41421,0.585786,3.41421
60,0.19,0,0,0,0
61,0.21,1,1,0,2
62,0.23,2,1.41421,0.585786,3.41421
63,0.25,1,1,0,2
64,0.27,3,1.73205,1.26795,4.73205
65,0.29,2,1.41421,0.585786,3.41421
66,0.31,1,1,0,2
67,0.33,1,1,0,2
68,0.35,2,1.41421,0.585786,3.41421
69,0.37,1,1,0,2
70,0.39,2,1.41421,0.585786,3.41421
71,0.41,2,1.41421,0.585786,3.41421
72,0.43,1,1,0,2
73,0.45,1,1,0,2
74,0.47,1,1,0,2
75,0.49,1,1,0,2
76,0.51,1,1,0,2
77,0.53,4,2,2,6
78,0.55,0,0,0,0
79,0.57,1,1,0,2
80,0.59,3,1.73205,1.26795,4.73205
81,0.61,1,1,0,2
82,0.63,2,1.41421,0.585786,3.41421
83,0.65,4,2,2,6
84,0.67,1,1,0,2
85,0.69,2,1.41421,0.585786,3.41421
86,0.71,1,1,0,2
87,0.73,5,2.23607,2.76393,7.23607
88,0.75,4,2,2,6
89,0.77,8,2.82843,5.17157,10.8284
90,0.79,4,2,2,6
91,0.81,5,2.23607,2.76393,7.23607
92,0.83,4,2,2,6
93,0.85,9,3,6,12
94,0.87,6,2.44949,3.55051,8.44949
95,0.89,10,3.16228,6.83772,13.1623
96,0.91,13,3.60555,9.39445,16.6056
97,0.93,14,3.74166,10.2583,17.7417
98,0.95,19,4.3589,14.6411,23.3589
99,0.97,31,5.56776,25.4322,36.5678
100,0.99,70,8.3666,61.6334,78.3666
