Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,123,11.0905,111.909,134.091
2,-0.97,111,10.5357,100.464,121.536
3,-0.95,78,8.83176,69.1682,86.8318
4,-0.93,64,8,56,72
5,-0.91,61,7.81025,53.1898,68.8102
6,-0.89,52,7.2111,44.7889,59.2111
7,-0.87,58,7.61577,50.3842,65.6158
8,-0.85,56,7.48331,48.5167,63.4833
9,-0.83,35,5.91608,29.0839,40.9161
10,-0.81,31,5.56776,25.4322,36.5678
11,-0.79,42,6.48074,35.5193,48.4807
12,-0.77,49,7,42,56
13,-0.75,40,6.32456,33.6754,46.3246
14,-0.73,28,5.2915,22.7085,33.2915
15,-0.71,41,6.40312,34.5969,47.4031
16,-0.69,30,5.47723,24.5228,35.4772
17,-0.67,29,5.38516,23.6148,34.3852
18,-0.65,27,5.19615,21.8038,32.1962
19,-0.63,39,6.245,32.755,45.245
20,-0.61,32,5.65685,26.3431,37.6569
21,-0.59,34,5.83095,28.169,39.831
22,-0.57,30,5.47723,24.5228,35.4772
23,-0.55,36,6,30,42
24,-0.53,34,5.83095,28.169,39.831
25,-0.51,44,6.63325,37.3668,50.6332
26,-0.49,34,5.83095,28.169,39.831
27,-0.47,29,5.38516,23.6148,34.3852
28,-0.45,33,5.74456,27.2554,38.7446
29,-0.43,54,7.34847,46.6515,61.3485
30,-0.41,37,6.08276,30.9172,43.0828
31,-0.39,50,7.07107,42.9289,57.0711
32,-0.37,52,7.2111,44.7889,59.2111
33,-0.35,30,5.47723,24.5228,35.4772
34,-0.33,38,6.16441,31.8356,44.1644
35,-0.31,49,7,42,56
36,-0.29,30,5.47723,24.5228,35.4772
37,-0.27,37,6.08276,30.9172,43.0828
38,-0.25,32,5.65685,26.3431,37.6569
39,-0.23,31,5.56776,25.4322,36.5678
40,-0.21,51,7.14143,43.8586,58.1414
41,-0.19,80,8.94427,71.0557,88.9443
42,-0.17,41,6.40312,34.5969,47.4031
43,-0.15,52,7.2111,44.7889,59.2111
44,-0.13,49,7,42,56
45,-0.11,40,6.32456,33.6754,46.3246
46,-0.09,37,6.08276,30.9172,43.0828
47,-0.07,38,6.16441,31.8356,44.1644
48,-0.05,27,5.19615,21.8038,32.1962
49,-0.03,25,5,20,30
50,-0.01,10,3.16228,6.83772,13.1623
51,0.01,146,12.083,133.917,158.083
52,0.03,31,5.56776,25.4322,36.5678
53,0.05,39,6.245,32.755,45.245
54,0.07,44,6.63325,37.3668,50.6332
55,0.09,56,7.48331,48.5167,63.4833
56,0.11,59,7.68115,51.3189,66.6811
57,0.13,68,8.24621,59.7538,76.2462
58,0.15,70,8.3666,61.6334,78.3666
59,0.17,66,8.12404,57.876,74.124
60,0.19,91,9.53939,81.4606,100.539
61,0.21,76,8.7178,67.2822,84.7178
62,0.23,67,8.18535,58.8146,75.1854
63,0.25,74,8.60233,65.3977,82.6023
64,0.27,71,8.42615,62.5739,79.4261
65,0.29,71,8.42615,62.5739,79.4261
66,0.31,83,9.11043,73.8896,92.1104
67,0.33,72,8.48528,63.5147,80.4853
68,0.35,82,9.05539,72.9446,91.0554
69,0.37,108,10.3923,97.6077,118.392
70,0.39,78,8.83176,69.1682,86.8318
71,0.41,87,9.32738,77.6726,96.3274
72,0.43,116,10.7703,105.23,126.77
73,0.45,106,10.2956,95.7044,116.296
74,0.47,82,9.05539,72.9446,91.0554
75,0.49,104,10.198,93.802,114.198
76,0.51,131,11.4455,119.554,142.446
77,0.53,105,10.247,94.753,115.247
78,0.55,132,11.4891,120.511,143.489
79,0.57,144,12,132,156
80,0.59,153,12.3693,140.631,165.369
81,0.61,135,11.619,123.381,146.619
82,0.63,126,11.225,114.775,137.225
83,0.65,133,11.5326,121.467,144.533
84,0.67,167,12.9228,154.077,179.923
85,0.69,159,12.6095,146.39,171.61
86,0.71,191,13.8203,177.18,204.82
87,0.73,168,12.9615,155.039,180.961
88,0.75,232,15.2315,216.768,247.232
89,0.77,241,15.5242,225.476,256.524
90,0.79,233,15.2643,217.736,248.264
91,0.81,266,16.3095,249.69,282.31
92,0.83,267,16.3401,250.66,283.34
93,0.85,296,17.2047,278.795,313.205
94,0.87,333,18.2483,314.752,351.248
95,0.89,339,18.412,320.588,357.412
96,0.91,425,20.6155,404.384,445.616
97,0.93,458,21.4009,436.599,479.401
98,0.95,598,24.454,573.546,622.454
99,0.97,763,27.6225,735.378,790.622
100,0.99,935,30.5778,904.422,965.578
