Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,0,0,0,0
2,0.03,88,9.38083,78.6192,97.3808
3,0.05,299,17.2916,281.708,316.292
4,0.07,240,15.4919,224.508,255.492
5,0.09,206,14.3527,191.647,220.353
6,0.11,226,15.0333,210.967,241.033
7,0.13,237,15.3948,221.605,252.395
8,0.15,230,15.1658,214.834,245.166
9,0.17,233,15.2643,217.736,248.264
10,0.19,214,14.6287,199.371,228.629
11,0.21,203,14.2478,188.752,217.248
12,0.23,160,12.6491,147.351,172.649
13,0.25,152,12.3288,139.671,164.329
14,0.27,122,11.0454,110.955,133.045
15,0.29,92,9.59166,82.4083,101.592
16,0.31,107,10.3441,96.6559,117.344
17,0.33,59,7.68115,51.3189,66.6811
18,0.35,61,7.81025,53.1898,68.8102
19,0.37,47,6.85565,40.1443,53.8557
20,0.39,38,6.16441,31.8356,44.1644
21,0.41,30,5.47723,24.5228,35.4772
22,0.43,16,4,12,20
23,0.45,11,3.31662,7.68338,14.3166
24,0.47,7,2.64575,4.35425,9.64575
25,0.49,9,3,6,12
26,0.51,1,1,0,2
27,0.53,3,1.73205,1.26795,4.73205
28,0.55,0,0,0,0
29,0.57,1,1,0,2
30,0.59,2,1.41421,0.585786,3.41421
31,0.61,2,1.41421,0.585786,3.41421
32,0.63,1,1,0,2
33,0.65,1,1,0,2
34,0.67,1,1,0,2
35,0.69,1,1,0,2
36,0.71,1,1,0,2
37,0.73,0,0,0,0
38,0.75,0,0,0,0
39,0.77,2,1.41421,0.585786,3.41421
40,0.79,1,1,0,2
41,0.81,0,0,0,0
42,0.83,1,1,0,2
43,0.85,2,1.41421,0.585786,3.41421
44,0.87,0,0,0,0
45,0.89,0,0,0,0
46,0.91,0,0,0,0
47,0.93,4,2,2,6
48,0.95,0,0,0,0
49,0.97,0,0,0,0
50,0.99,0,0,0,0
