Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,92,9.59166,82.4083,101.592
2,0.03,810,28.4605,781.54,838.46
3,0.05,871,29.5127,841.487,900.513
4,0.07,1173,34.2491,1138.75,1207.25
5,0.09,1467,38.3014,1428.7,1505.3
6,0.11,1721,41.4849,1679.52,1762.48
7,0.13,1939,44.0341,1894.97,1983.03
8,0.15,1946,44.1135,1901.89,1990.11
9,0.17,1775,42.1307,1732.87,1817.13
10,0.19,1541,39.2556,1501.74,1580.26
11,0.21,1678,40.9634,1637.04,1718.96
12,0.23,1627,40.3361,1586.66,1667.34
13,0.25,1642,40.5216,1601.48,1682.52
14,0.27,1531,39.128,1491.87,1570.13
15,0.29,1480,38.4708,1441.53,1518.47
16,0.31,1073,32.7567,1040.24,1105.76
17,0.33,683,26.1343,656.866,709.134
18,0.35,430,20.7364,409.264,450.736
19,0.37,275,16.5831,258.417,291.583
20,0.39,235,15.3297,219.67,250.33
21,0.41,181,13.4536,167.546,194.454
22,0.43,156,12.49,143.51,168.49
23,0.45,101,10.0499,90.9501,111.05
24,0.47,89,9.43398,79.566,98.434
25,0.49,86,9.27362,76.7264,95.2736
26,0.51,57,7.54983,49.4502,64.5498
27,0.53,56,7.48331,48.5167,63.4833
28,0.55,47,6.85565,40.1443,53.8557
29,0.57,49,7,42,56
30,0.59,38,6.16441,31.8356,44.1644
31,0.61,34,5.83095,28.169,39.831
32,0.63,39,6.245,32.755,45.245
33,0.65,24,4.89898,19.101,28.899
34,0.67,30,5.47723,24.5228,35.4772
35,0.69,19,4.3589,14.6411,23.3589
36,0.71,20,4.47214,15.5279,24.4721
37,0.73,19,4.3589,14.6411,23.3589
38,0.75,18,4.24264,13.7574,22.2426
39,0.77,15,3.87298,11.127,18.873
40,0.79,12,3.4641,8.5359,15.4641
41,0.81,15,3.87298,11.127,18.873
42,0.83,9,3,6,12
43,0.85,11,3.31662,7.68338,14.3166
44,0.87,5,2.23607,2.76393,7.23607
45,0.89,7,2.64575,4.35425,9.64575
46,0.91,5,2.23607,2.76393,7.23607
47,0.93,11,3.31662,7.68338,14.3166
48,0.95,10,3.16228,6.83772,13.1623
49,0.97,4,2,2,6
50,0.99,9,3,6,12
