Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,13,3.60555,9.39445,16.6056
2,0.03,103,10.1489,92.8511,113.149
3,0.05,72,8.48528,63.5147,80.4853
4,0.07,83,9.11043,73.8896,92.1104
5,0.09,56,7.48331,48.5167,63.4833
6,0.11,48,6.9282,41.0718,54.9282
7,0.13,45,6.7082,38.2918,51.7082
8,0.15,56,7.48331,48.5167,63.4833
9,0.17,55,7.4162,47.5838,62.4162
10,0.19,35,5.91608,29.0839,40.9161
11,0.21,52,7.2111,44.7889,59.2111
12,0.23,58,7.61577,50.3842,65.6158
13,0.25,45,6.7082,38.2918,51.7082
14,0.27,45,6.7082,38.2918,51.7082
15,0.29,34,5.83095,28.169,39.831
16,0.31,16,4,12,20
17,0.33,11,3.31662,7.68338,14.3166
18,0.35,3,1.73205,1.26795,4.73205
19,0.37,4,2,2,6
20,0.39,0,0,0,0
21,0.41,2,1.41421,0.585786,3.41421
22,0.43,1,1,0,2
23,0.45,1,1,0,2
24,0.47,2,1.41421,0.585786,3.41421
25,0.49,1,1,0,2
26,0.51,1,1,0,2
27,0.53,2,1.41421,0.585786,3.41421
28,0.55,2,1.41421,0.585786,3.41421
29,0.57,0,0,0,0
30,0.59,2,1.41421,0.585786,3.41421
31,0.61,3,1.73205,1.26795,4.73205
32,0.63,0,0,0,0
33,0.65,0,0,0,0
34,0.67,0,0,0,0
35,0.69,0,0,0,0
36,0.71,0,0,0,0
37,0.73,0,0,0,0
38,0.75,0,0,0,0
39,0.77,0,0,0,0
40,0.79,0,0,0,0
41,0.81,2,1.41421,0.585786,3.41421
42,0.83,0,0,0,0
43,0.85,0,0,0,0
44,0.87,0,0,0,0
45,0.89,1,1,0,2
46,0.91,0,0,0,0
47,0.93,0,0,0,0
48,0.95,0,0,0,0
49,0.97,0,0,0,0
50,0.99,0,0,0,0
