Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,0,0,0,0
2,0.03,1046,32.3419,1013.66,1078.34
3,0.05,1122,33.4963,1088.5,1155.5
4,0.07,965,31.0644,933.936,996.064
5,0.09,776,27.8568,748.143,803.857
6,0.11,717,26.7769,690.223,743.777
7,0.13,600,24.4949,575.505,624.495
8,0.15,490,22.1359,467.864,512.136
9,0.17,375,19.3649,355.635,394.365
10,0.19,278,16.6733,261.327,294.673
11,0.21,227,15.0665,211.933,242.067
12,0.23,195,13.9642,181.036,208.964
13,0.25,145,12.0416,132.958,157.042
14,0.27,95,9.74679,85.2532,104.747
15,0.29,56,7.48331,48.5167,63.4833
16,0.31,44,6.63325,37.3668,50.6332
17,0.33,33,5.74456,27.2554,38.7446
18,0.35,23,4.79583,18.2042,27.7958
19,0.37,14,3.74166,10.2583,17.7417
20,0.39,12,3.4641,8.5359,15.4641
21,0.41,9,3,6,12
22,0.43,11,3.31662,7.68338,14.3166
23,0.45,3,1.73205,1.26795,4.73205
24,0.47,7,2.64575,4.35425,9.64575
25,0.49,8,2.82843,5.17157,10.8284
26,0.51,5,2.23607,2.76393,7.23607
27,0.53,8,2.82843,5.17157,10.8284
28,0.55,3,1.73205,1.26795,4.73205
29,0.57,4,2,2,6
30,0.59,4,2,2,6
31,0.61,4,2,2,6
32,0.63,3,1.73205,1.26795,4.73205
33,0.65,1,1,0,2
34,0.67,3,1.73205,1.26795,4.73205
35,0.69,0,0,0,0
36,0.71,0,0,0,0
37,0.73,2,1.41421,0.585786,3.41421
38,0.75,1,1,0,2
39,0.77,1,1,0,2
40,0.79,1,1,0,2
41,0.81,1,1,0,2
42,0.83,1,1,0,2
43,0.85,1,1,0,2
44,0.87,1,1,0,2
45,0.89,1,1,0,2
46,0.91,3,1.73205,1.26795,4.73205
47,0.93,2,1.41421,0.585786,3.41421
48,0.95,0,0,0,0
49,0.97,0,0,0,0
50,0.99,2,1.41421,0.585786,3.41421
