Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,0,0,0,0
2,0.03,0,0,0,0
3,0.05,1107,33.2716,1073.73,1140.27
4,0.07,1255,35.426,1219.57,1290.43
5,0.09,1032,32.1248,999.875,1064.12
6,0.11,865,29.4109,835.589,894.411
7,0.13,1039,32.2335,1006.77,1071.23
8,0.15,792,28.1425,763.858,820.142
9,0.17,702,26.4953,675.505,728.495
10,0.19,609,24.6779,584.322,633.678
11,0.21,570,23.8747,546.125,593.875
12,0.23,492,22.1811,469.819,514.181
13,0.25,384,19.5959,364.404,403.596
14,0.27,345,18.5742,326.426,363.574
15,0.29,326,18.0555,307.945,344.055
16,0.31,237,15.3948,221.605,252.395
17,0.33,205,14.3178,190.682,219.318
18,0.35,179,13.3791,165.621,192.379
19,0.37,122,11.0454,110.955,133.045
20,0.39,144,12,132,156
21,0.41,100,10,90,110
22,0.43,73,8.544,64.456,81.544
23,0.45,63,7.93725,55.0627,70.9373
24,0.47,63,7.93725,55.0627,70.9373
25,0.49,45,6.7082,38.2918,51.7082
26,0.51,39,6.245,32.755,45.245
27,0.53,6,2.44949,3.55051,8.44949
28,0.55,12,3.4641,8.5359,15.4641
29,0.57,5,2.23607,2.76393,7.23607
30,0.59,3,1.73205,1.26795,4.73205
31,0.61,3,1.73205,1.26795,4.73205
32,0.63,1,1,0,2
33,0.65,2,1.41421,0.585786,3.41421
34,0.67,1,1,0,2
35,0.69,0,0,0,0
36,0.71,2,1.41421,0.585786,3.41421
37,0.73,1,1,0,2
38,0.75,3,1.73205,1.26795,4.73205
39,0.77,2,1.41421,0.585786,3.41421
40,0.79,1,1,0,2
41,0.81,2,1.41421,0.585786,3.41421
42,0.83,1,1,0,2
43,0.85,1,1,0,2
44,0.87,0,0,0,0
45,0.89,1,1,0,2
46,0.91,0,0,0,0
47,0.93,1,1,0,2
48,0.95,0,0,0,0
49,0.97,3,1.73205,1.26795,4.73205
50,0.99,0,0,0,0
