Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,316,17.7764,298.224,333.776
3,5,185,13.6015,171.399,198.601
4,7,174,13.1909,160.809,187.191
5,9,165,12.8452,152.155,177.845
6,11,135,11.619,123.381,146.619
7,13,140,11.8322,128.168,151.832
8,15,130,11.4018,118.598,141.402
9,17,105,10.247,94.753,115.247
10,19,114,10.6771,103.323,124.677
11,21,96,9.79796,86.202,105.798
12,23,117,10.8167,106.183,127.817
13,25,113,10.6301,102.37,123.63
14,27,88,9.38083,78.6192,97.3808
15,29,77,8.77496,68.225,85.775
16,31,90,9.48683,80.5132,99.4868
17,33,83,9.11043,73.8896,92.1104
18,35,71,8.42615,62.5739,79.4261
19,37,88,9.38083,78.6192,97.3808
20,39,55,7.4162,47.5838,62.4162
21,41,64,8,56,72
22,43,68,8.24621,59.7538,76.2462
23,45,66,8.12404,57.876,74.124
24,47,50,7.07107,42.9289,57.0711
25,49,64,8,56,72
26,51,39,6.245,32.755,45.245
27,53,33,5.74456,27.2554,38.7446
28,55,48,6.9282,41.0718,54.9282
29,57,33,5.74456,27.2554,38.7446
30,59,40,6.32456,33.6754,46.3246
31,61,51,7.14143,43.8586,58.1414
32,63,35,5.91608,29.0839,40.9161
33,65,33,5.74456,27.2554,38.7446
34,67,18,4.24264,13.7574,22.2426
35,69,14,3.74166,10.2583,17.7417
36,71,30,5.47723,24.5228,35.4772
37,73,17,4.12311,12.8769,21.1231
38,75,23,4.79583,18.2042,27.7958
39,77,21,4.58258,16.4174,25.5826
40,79,33,5.74456,27.2554,38.7446
41,81,18,4.24264,13.7574,22.2426
42,83,21,4.58258,16.4174,25.5826
43,85,23,4.79583,18.2042,27.7958
44,87,24,4.89898,19.101,28.899
45,89,10,3.16228,6.83772,13.1623
46,91,10,3.16228,6.83772,13.1623
47,93,8,2.82843,5.17157,10.8284
48,95,21,4.58258,16.4174,25.5826
49,97,22,4.69042,17.3096,26.6904
50,99,11,3.31662,7.68338,14.3166
