Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,9,3,6,12
3,5,7,2.64575,4.35425,9.64575
4,7,4,2,2,6
5,9,3,1.73205,1.26795,4.73205
6,11,7,2.64575,4.35425,9.64575
7,13,3,1.73205,1.26795,4.73205
8,15,4,2,2,6
9,17,2,1.41421,0.585786,3.41421
10,19,9,3,6,12
11,21,2,1.41421,0.585786,3.41421
12,23,6,2.44949,3.55051,8.44949
13,25,4,2,2,6
14,27,3,1.73205,1.26795,4.73205
15,29,4,2,2,6
16,31,5,2.23607,2.76393,7.23607
17,33,1,1,0,2
18,35,6,2.44949,3.55051,8.44949
19,37,3,1.73205,1.26795,4.73205
20,39,2,1.41421,0.585786,3.41421
21,41,4,2,2,6
22,43,2,1.41421,0.585786,3.41421
23,45,1,1,0,2
24,47,4,2,2,6
25,49,1,1,0,2
26,51,2,1.41421,0.585786,3.41421
27,53,2,1.41421,0.585786,3.41421
28,55,3,1.73205,1.26795,4.73205
29,57,0,0,0,0
30,59,3,1.73205,1.26795,4.73205
31,61,2,1.41421,0.585786,3.41421
32,63,1,1,0,2
33,65,1,1,0,2
34,67,0,0,0,0
35,69,0,0,0,0
36,71,1,1,0,2
37,73,5,2.23607,2.76393,7.23607
38,75,0,0,0,0
39,77,3,1.73205,1.26795,4.73205
40,79,3,1.73205,1.26795,4.73205
41,81,5,2.23607,2.76393,7.23607
42,83,3,1.73205,1.26795,4.73205
43,85,2,1.41421,0.585786,3.41421
44,87,2,1.41421,0.585786,3.41421
45,89,1,1,0,2
46,91,0,0,0,0
47,93,0,0,0,0
48,95,1,1,0,2
49,97,2,1.41421,0.585786,3.41421
50,99,2,1.41421,0.585786,3.41421
