Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,476,21.8174,454.183,497.817
3,5,552,23.4947,528.505,575.495
4,7,728,26.9815,701.019,754.981
5,9,796,28.2135,767.787,824.213
6,11,786,28.0357,757.964,814.036
7,13,818,28.6007,789.399,846.601
8,15,811,28.4781,782.522,839.478
9,17,842,29.0172,812.983,871.017
10,19,767,27.6948,739.305,794.695
11,21,730,27.0185,702.981,757.019
12,23,718,26.7955,691.204,744.796
13,25,654,25.5734,628.427,679.573
14,27,674,25.9615,648.038,699.962
15,29,629,25.0799,603.92,654.08
16,31,642,25.3377,616.662,667.338
17,33,659,25.671,633.329,684.671
18,35,662,25.7294,636.271,687.729
19,37,637,25.2389,611.761,662.239
20,39,531,23.0434,507.957,554.043
21,41,597,24.4336,572.566,621.434
22,43,535,23.1301,511.87,558.13
23,45,568,23.8328,544.167,591.833
24,47,511,22.6053,488.395,533.605
25,49,486,22.0454,463.955,508.045
26,51,511,22.6053,488.395,533.605
27,53,485,22.0227,462.977,507.023
28,55,426,20.6398,405.36,446.64
29,57,428,20.6882,407.312,448.688
30,59,434,20.8327,413.167,454.833
31,61,238,15.4272,222.573,253.427
32,63,230,15.1658,214.834,245.166
33,65,165,12.8452,152.155,177.845
34,67,146,12.083,133.917,158.083
35,69,124,11.1355,112.864,135.136
36,71,270,16.4317,253.568,286.432
37,73,300,17.3205,282.679,317.321
38,75,302,17.3781,284.622,319.378
39,77,316,17.7764,298.224,333.776
40,79,338,18.3848,319.615,356.385
41,81,304,17.4356,286.564,321.436
42,83,310,17.6068,292.393,327.607
43,85,336,18.3303,317.67,354.33
44,87,329,18.1384,310.862,347.138
45,89,350,18.7083,331.292,368.708
46,91,312,17.6635,294.336,329.664
47,93,297,17.2337,279.766,314.234
48,95,300,17.3205,282.679,317.321
49,97,318,17.8326,300.167,335.833
50,99,306,17.4929,288.507,323.493
