Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,52,7.2111,44.7889,59.2111
3,5,58,7.61577,50.3842,65.6158
4,7,60,7.74597,52.254,67.746
5,9,37,6.08276,30.9172,43.0828
6,11,43,6.55744,36.4426,49.5574
7,13,24,4.89898,19.101,28.899
8,15,26,5.09902,20.901,31.099
9,17,32,5.65685,26.3431,37.6569
10,19,23,4.79583,18.2042,27.7958
11,21,25,5,20,30
12,23,19,4.3589,14.6411,23.3589
13,25,22,4.69042,17.3096,26.6904
14,27,15,3.87298,11.127,18.873
15,29,21,4.58258,16.4174,25.5826
16,31,27,5.19615,21.8038,32.1962
17,33,17,4.12311,12.8769,21.1231
18,35,8,2.82843,5.17157,10.8284
19,37,15,3.87298,11.127,18.873
20,39,9,3,6,12
21,41,7,2.64575,4.35425,9.64575
22,43,8,2.82843,5.17157,10.8284
23,45,11,3.31662,7.68338,14.3166
24,47,13,3.60555,9.39445,16.6056
25,49,14,3.74166,10.2583,17.7417
26,51,8,2.82843,5.17157,10.8284
27,53,12,3.4641,8.5359,15.4641
28,55,13,3.60555,9.39445,16.6056
29,57,13,3.60555,9.39445,16.6056
30,59,19,4.3589,14.6411,23.3589
31,61,8,2.82843,5.17157,10.8284
32,63,7,2.64575,4.35425,9.64575
33,65,6,2.44949,3.55051,8.44949
34,67,2,1.41421,0.585786,3.41421
35,69,8,2.82843,5.17157,10.8284
36,71,10,3.16228,6.83772,13.1623
37,73,6,2.44949,3.55051,8.44949
38,75,5,2.23607,2.76393,7.23607
39,77,8,2.82843,5.17157,10.8284
40,79,6,2.44949,3.55051,8.44949
41,81,16,4,12,20
42,83,10,3.16228,6.83772,13.1623
43,85,9,3,6,12
44,87,9,3,6,12
45,89,8,2.82843,5.17157,10.8284
46,91,6,2.44949,3.55051,8.44949
47,93,12,3.4641,8.5359,15.4641
48,95,7,2.64575,4.35425,9.64575
49,97,9,3,6,12
50,99,13,3.60555,9.39445,16.6056
