Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,550,23.4521,526.548,573.452
3,5,503,22.4277,480.572,525.428
4,7,492,22.1811,469.819,514.181
5,9,460,21.4476,438.552,481.448
6,11,410,20.2485,389.752,430.248
7,13,373,19.3132,353.687,392.313
8,15,341,18.4662,322.534,359.466
9,17,299,17.2916,281.708,316.292
10,19,265,16.2788,248.721,281.279
11,21,273,16.5227,256.477,289.523
12,23,233,15.2643,217.736,248.264
13,25,246,15.6844,230.316,261.684
14,27,223,14.9332,208.067,237.933
15,29,240,15.4919,224.508,255.492
16,31,187,13.6748,173.325,200.675
17,33,186,13.6382,172.362,199.638
18,35,156,12.49,143.51,168.49
19,37,169,13,156,182
20,39,130,11.4018,118.598,141.402
21,41,152,12.3288,139.671,164.329
22,43,119,10.9087,108.091,129.909
23,45,123,11.0905,111.909,134.091
24,47,110,10.4881,99.5119,120.488
25,49,124,11.1355,112.864,135.136
26,51,97,9.84886,87.1511,106.849
27,53,96,9.79796,86.202,105.798
28,55,75,8.66025,66.3397,83.6603
29,57,78,8.83176,69.1682,86.8318
30,59,69,8.30662,60.6934,77.3066
31,61,61,7.81025,53.1898,68.8102
32,63,53,7.28011,45.7199,60.2801
33,65,52,7.2111,44.7889,59.2111
34,67,50,7.07107,42.9289,57.0711
35,69,36,6,30,42
36,71,37,6.08276,30.9172,43.0828
37,73,37,6.08276,30.9172,43.0828
38,75,45,6.7082,38.2918,51.7082
39,77,45,6.7082,38.2918,51.7082
40,79,40,6.32456,33.6754,46.3246
41,81,42,6.48074,35.5193,48.4807
42,83,35,5.91608,29.0839,40.9161
43,85,28,5.2915,22.7085,33.2915
44,87,33,5.74456,27.2554,38.7446
45,89,30,5.47723,24.5228,35.4772
46,91,30,5.47723,24.5228,35.4772
47,93,30,5.47723,24.5228,35.4772
48,95,16,4,12,20
49,97,17,4.12311,12.8769,21.1231
50,99,22,4.69042,17.3096,26.6904
