Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,23,4.79583,18.2042,27.7958
3,5,36,6,30,42
4,7,31,5.56776,25.4322,36.5678
5,9,35,5.91608,29.0839,40.9161
6,11,24,4.89898,19.101,28.899
7,13,24,4.89898,19.101,28.899
8,15,12,3.4641,8.5359,15.4641
9,17,18,4.24264,13.7574,22.2426
10,19,18,4.24264,13.7574,22.2426
11,21,16,4,12,20
12,23,11,3.31662,7.68338,14.3166
13,25,10,3.16228,6.83772,13.1623
14,27,12,3.4641,8.5359,15.4641
15,29,13,3.60555,9.39445,16.6056
16,31,10,3.16228,6.83772,13.1623
17,33,6,2.44949,3.55051,8.44949
18,35,14,3.74166,10.2583,17.7417
19,37,8,2.82843,5.17157,10.8284
20,39,10,3.16228,6.83772,13.1623
21,41,7,2.64575,4.35425,9.64575
22,43,4,2,2,6
23,45,3,1.73205,1.26795,4.73205
24,47,3,1.73205,1.26795,4.73205
25,49,5,2.23607,2.76393,7.23607
26,51,7,2.64575,4.35425,9.64575
27,53,3,1.73205,1.26795,4.73205
28,55,3,1.73205,1.26795,4.73205
29,57,5,2.23607,2.76393,7.23607
30,59,5,2.23607,2.76393,7.23607
31,61,1,1,0,2
32,63,0,0,0,0
33,65,1,1,0,2
34,67,5,2.23607,2.76393,7.23607
35,69,1,1,0,2
36,71,2,1.41421,0.585786,3.41421
37,73,4,2,2,6
38,75,3,1.73205,1.26795,4.73205
39,77,3,1.73205,1.26795,4.73205
40,79,4,2,2,6
41,81,0,0,0,0
42,83,3,1.73205,1.26795,4.73205
43,85,4,2,2,6
44,87,0,0,0,0
45,89,2,1.41421,0.585786,3.41421
46,91,0,0,0,0
47,93,2,1.41421,0.585786,3.41421
48,95,0,0,0,0
49,97,1,1,0,2
50,99,0,0,0,0
