Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,1667,40.8289,1626.17,1707.83
3,5,1049,32.3883,1016.61,1081.39
4,7,813,28.5132,784.487,841.513
5,9,729,27,702,756
6,11,679,26.0576,652.942,705.058
7,13,567,23.8118,543.188,590.812
8,15,495,22.2486,472.751,517.249
9,17,437,20.9045,416.095,457.905
10,19,435,20.8567,414.143,455.857
11,21,353,18.7883,334.212,371.788
12,23,324,18,306,342
13,25,306,17.4929,288.507,323.493
14,27,269,16.4012,252.599,285.401
15,29,238,15.4272,222.573,253.427
16,31,214,14.6287,199.371,228.629
17,33,212,14.5602,197.44,226.56
18,35,185,13.6015,171.399,198.601
19,37,160,12.6491,147.351,172.649
20,39,158,12.5698,145.43,170.57
21,41,151,12.2882,138.712,163.288
22,43,125,11.1803,113.82,136.18
23,45,119,10.9087,108.091,129.909
24,47,121,11,110,132
25,49,112,10.583,101.417,122.583
26,51,95,9.74679,85.2532,104.747
27,53,109,10.4403,98.5597,119.44
28,55,73,8.544,64.456,81.544
29,57,85,9.21954,75.7805,94.2195
30,59,74,8.60233,65.3977,82.6023
31,61,69,8.30662,60.6934,77.3066
32,63,70,8.3666,61.6334,78.3666
33,65,61,7.81025,53.1898,68.8102
34,67,51,7.14143,43.8586,58.1414
35,69,47,6.85565,40.1443,53.8557
36,71,37,6.08276,30.9172,43.0828
37,73,43,6.55744,36.4426,49.5574
38,75,42,6.48074,35.5193,48.4807
39,77,39,6.245,32.755,45.245
40,79,38,6.16441,31.8356,44.1644
41,81,34,5.83095,28.169,39.831
42,83,44,6.63325,37.3668,50.6332
43,85,27,5.19615,21.8038,32.1962
44,87,20,4.47214,15.5279,24.4721
45,89,18,4.24264,13.7574,22.2426
46,91,26,5.09902,20.901,31.099
47,93,16,4,12,20
48,95,20,4.47214,15.5279,24.4721
49,97,18,4.24264,13.7574,22.2426
50,99,23,4.79583,18.2042,27.7958
