Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,71,8.42615,62.5739,79.4261
3,5,53,7.28011,45.7199,60.2801
4,7,42,6.48074,35.5193,48.4807
5,9,22,4.69042,17.3096,26.6904
6,11,20,4.47214,15.5279,24.4721
7,13,25,5,20,30
8,15,14,3.74166,10.2583,17.7417
9,17,17,4.12311,12.8769,21.1231
10,19,18,4.24264,13.7574,22.2426
11,21,12,3.4641,8.5359,15.4641
12,23,12,3.4641,8.5359,15.4641
13,25,9,3,6,12
14,27,7,2.64575,4.35425,9.64575
15,29,5,2.23607,2.76393,7.23607
16,31,2,1.41421,0.585786,3.41421
17,33,4,2,2,6
18,35,2,1.41421,0.585786,3.41421
19,37,2,1.41421,0.585786,3.41421
20,39,1,1,0,2
21,41,0,0,0,0
22,43,4,2,2,6
23,45,3,1.73205,1.26795,4.73205
24,47,4,2,2,6
25,49,0,0,0,0
26,51,3,1.73205,1.26795,4.73205
27,53,1,1,0,2
28,55,1,1,0,2
29,57,0,0,0,0
30,59,0,0,0,0
31,61,1,1,0,2
32,63,0,0,0,0
33,65,2,1.41421,0.585786,3.41421
34,67,2,1.41421,0.585786,3.41421
35,69,1,1,0,2
36,71,0,0,0,0
37,73,0,0,0,0
38,75,0,0,0,0
39,77,0,0,0,0
40,79,1,1,0,2
41,81,0,0,0,0
42,83,0,0,0,0
43,85,0,0,0,0
44,87,0,0,0,0
45,89,0,0,0,0
46,91,0,0,0,0
47,93,0,0,0,0
48,95,0,0,0,0
49,97,0,0,0,0
50,99,0,0,0,0
