Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.5,0,0,0,0
2,1.5,14049,118.528,13930.5,14167.5
3,2.5,4349,65.9469,4283.05,4414.95
4,3.5,1155,33.9853,1121.01,1188.99
5,4.5,280,16.7332,263.267,296.733
6,5.5,64,8,56,72
7,6.5,18,4.24264,13.7574,22.2426
8,7.5,2,1.41421,0.585786,3.41421
9,8.5,2,1.41421,0.585786,3.41421
10,9.5,0,0,0,0
11,10.5,0,0,0,0
12,11.5,0,0,0,0
13,12.5,0,0,0,0
14,13.5,0,0,0,0
15,14.5,0,0,0,0
16,15.5,0,0,0,0
17,16.5,0,0,0,0
18,17.5,0,0,0,0
19,18.5,0,0,0,0
20,19.5,0,0,0,0
