Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.5,0,0,0,0
2,1.5,19124,138.29,18985.7,19262.3
3,2.5,5614,74.9266,5539.07,5688.93
4,3.5,2380,48.7852,2331.21,2428.79
5,4.5,1220,34.9285,1185.07,1254.93
6,5.5,685,26.1725,658.827,711.173
7,6.5,443,21.0476,421.952,464.048
8,7.5,275,16.5831,258.417,291.583
9,8.5,190,13.784,176.216,203.784
10,9.5,118,10.8628,107.137,128.863
11,10.5,87,9.32738,77.6726,96.3274
12,11.5,74,8.60233,65.3977,82.6023
13,12.5,56,7.48331,48.5167,63.4833
14,13.5,43,6.55744,36.4426,49.5574
15,14.5,39,6.245,32.755,45.245
16,15.5,42,6.48074,35.5193,48.4807
17,16.5,29,5.38516,23.6148,34.3852
18,17.5,38,6.16441,31.8356,44.1644
19,18.5,28,5.2915,22.7085,33.2915
20,19.5,22,4.69042,17.3096,26.6904
