Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.5,0,0,0,0
2,1.5,19398,139.277,19258.7,19537.3
3,2.5,273,16.5227,256.477,289.523
4,3.5,123,11.0905,111.909,134.091
5,4.5,58,7.61577,50.3842,65.6158
6,5.5,36,6,30,42
7,6.5,27,5.19615,21.8038,32.1962
8,7.5,17,4.12311,12.8769,21.1231
9,8.5,17,4.12311,12.8769,21.1231
10,9.5,15,3.87298,11.127,18.873
11,10.5,8,2.82843,5.17157,10.8284
12,11.5,7,2.64575,4.35425,9.64575
13,12.5,5,2.23607,2.76393,7.23607
14,13.5,2,1.41421,0.585786,3.41421
15,14.5,4,2,2,6
16,15.5,4,2,2,6
17,16.5,7,2.64575,4.35425,9.64575
18,17.5,1,1,0,2
19,18.5,1,1,0,2
20,19.5,4,2,2,6
