Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.5,0,0,0,0
2,1.5,11034,105.043,10929,11139
3,2.5,6965,83.4566,6881.54,7048.46
4,3.5,3688,60.7289,3627.27,3748.73
5,4.5,1665,40.8044,1624.2,1705.8
6,5.5,733,27.074,705.926,760.074
7,6.5,312,17.6635,294.336,329.664
8,7.5,120,10.9545,109.046,130.954
9,8.5,50,7.07107,42.9289,57.0711
10,9.5,28,5.2915,22.7085,33.2915
11,10.5,13,3.60555,9.39445,16.6056
12,11.5,6,2.44949,3.55051,8.44949
13,12.5,3,1.73205,1.26795,4.73205
14,13.5,6,2.44949,3.55051,8.44949
15,14.5,1,1,0,2
16,15.5,1,1,0,2
17,16.5,0,0,0,0
18,17.5,0,0,0,0
19,18.5,0,0,0,0
20,19.5,2,1.41421,0.585786,3.41421
