Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,4,2,2,6
5,-57.4,727,26.9629,700.037,753.963
6,-54.6,631,25.1197,605.88,656.12
7,-51.8,650,25.4951,624.505,675.495
8,-49,668,25.8457,642.154,693.846
9,-46.2,621,24.9199,596.08,645.92
10,-43.4,614,24.779,589.221,638.779
11,-40.6,693,26.3249,666.675,719.325
12,-37.8,605,24.5967,580.403,629.597
13,-35,815,28.5482,786.452,843.548
14,-32.2,1016,31.8748,984.125,1047.87
15,-29.4,608,24.6577,583.342,632.658
16,-26.6,615,24.7992,590.201,639.799
17,-23.8,575,23.9792,551.021,598.979
18,-21,609,24.6779,584.322,633.678
19,-18.2,634,25.1794,608.821,659.179
20,-15.4,584,24.1661,559.834,608.166
21,-12.6,655,25.593,629.407,680.593
22,-9.8,573,23.9374,549.063,596.937
23,-7,571,23.8956,547.104,594.896
24,-4.2,183,13.5277,169.472,196.528
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,178,13.3417,164.658,191.342
28,7,606,24.6171,581.383,630.617
29,9.8,544,23.3238,520.676,567.324
30,12.6,653,25.5539,627.446,678.554
31,15.4,531,23.0434,507.957,554.043
32,18.2,576,24,552,600
33,21,639,25.2784,613.722,664.278
34,23.8,524,22.891,501.109,546.891
35,26.6,583,24.1454,558.855,607.145
36,29.4,541,23.2594,517.741,564.259
37,32.2,943,30.7083,912.292,973.708
38,35,748,27.3496,720.65,775.35
39,37.8,611,24.7184,586.282,635.718
40,40.6,676,26,650,702
41,43.4,587,24.2281,562.772,611.228
42,46.2,611,24.7184,586.282,635.718
43,49,610,24.6982,585.302,634.698
44,51.8,593,24.3516,568.648,617.352
45,54.6,568,23.8328,544.167,591.833
46,57.4,649,25.4755,623.525,674.475
47,60.2,5,2.23607,2.76393,7.23607
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
