Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,32,5.65685,26.3431,37.6569
6,-54.6,37,6.08276,30.9172,43.0828
7,-51.8,35,5.91608,29.0839,40.9161
8,-49,32,5.65685,26.3431,37.6569
9,-46.2,22,4.69042,17.3096,26.6904
10,-43.4,24,4.89898,19.101,28.899
11,-40.6,32,5.65685,26.3431,37.6569
12,-37.8,34,5.83095,28.169,39.831
13,-35,46,6.78233,39.2177,52.7823
14,-32.2,63,7.93725,55.0627,70.9373
15,-29.4,37,6.08276,30.9172,43.0828
16,-26.6,42,6.48074,35.5193,48.4807
17,-23.8,33,5.74456,27.2554,38.7446
18,-21,46,6.78233,39.2177,52.7823
19,-18.2,45,6.7082,38.2918,51.7082
20,-15.4,32,5.65685,26.3431,37.6569
21,-12.6,35,5.91608,29.0839,40.9161
22,-9.8,40,6.32456,33.6754,46.3246
23,-7,31,5.56776,25.4322,36.5678
24,-4.2,4,2,2,6
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,10,3.16228,6.83772,13.1623
28,7,40,6.32456,33.6754,46.3246
29,9.8,32,5.65685,26.3431,37.6569
30,12.6,33,5.74456,27.2554,38.7446
31,15.4,20,4.47214,15.5279,24.4721
32,18.2,27,5.19615,21.8038,32.1962
33,21,20,4.47214,15.5279,24.4721
34,23.8,24,4.89898,19.101,28.899
35,26.6,14,3.74166,10.2583,17.7417
36,29.4,26,5.09902,20.901,31.099
37,32.2,37,6.08276,30.9172,43.0828
38,35,26,5.09902,20.901,31.099
39,37.8,25,5,20,30
40,40.6,28,5.2915,22.7085,33.2915
41,43.4,31,5.56776,25.4322,36.5678
42,46.2,33,5.74456,27.2554,38.7446
43,49,24,4.89898,19.101,28.899
44,51.8,29,5.38516,23.6148,34.3852
45,54.6,31,5.56776,25.4322,36.5678
46,57.4,27,5.19615,21.8038,32.1962
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
