Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,252,15.8745,236.125,267.875
6,-54.6,663,25.7488,637.251,688.749
7,-51.8,614,24.779,589.221,638.779
8,-49,690,26.2679,663.732,716.268
9,-46.2,647,25.4362,621.564,672.436
10,-43.4,604,24.5764,579.424,628.576
11,-40.6,635,25.1992,609.801,660.199
12,-37.8,589,24.2693,564.731,613.269
13,-35,649,25.4755,623.525,674.475
14,-32.2,647,25.4362,621.564,672.436
15,-29.4,564,23.7487,540.251,587.749
16,-26.6,606,24.6171,581.383,630.617
17,-23.8,581,24.1039,556.896,605.104
18,-21,683,26.1343,656.866,709.134
19,-18.2,588,24.2487,563.751,612.249
20,-15.4,566,23.7908,542.209,589.791
21,-12.6,610,24.6982,585.302,634.698
22,-9.8,605,24.5967,580.403,629.597
23,-7,527,22.9565,504.044,549.956
24,-4.2,632,25.1396,606.86,657.14
25,-1.4,585,24.1868,560.813,609.187
26,1.4,586,24.2074,561.793,610.207
27,4.2,640,25.2982,614.702,665.298
28,7,555,23.5584,531.442,578.558
29,9.8,584,24.1661,559.834,608.166
30,12.6,649,25.4755,623.525,674.475
31,15.4,537,23.1733,513.827,560.173
32,18.2,606,24.6171,581.383,630.617
33,21,579,24.0624,554.938,603.062
34,23.8,540,23.2379,516.762,563.238
35,26.6,616,24.8193,591.181,640.819
36,29.4,555,23.5584,531.442,578.558
37,32.2,651,25.5147,625.485,676.515
38,35,553,23.516,529.484,576.516
39,37.8,593,24.3516,568.648,617.352
40,40.6,618,24.8596,593.14,642.86
41,43.4,566,23.7908,542.209,589.791
42,46.2,583,24.1454,558.855,607.145
43,49,631,25.1197,605.88,656.12
44,51.8,542,23.2809,518.719,565.281
45,54.6,642,25.3377,616.662,667.338
46,57.4,264,16.2481,247.752,280.248
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
