Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,9,3,6,12
6,-54.6,33,5.74456,27.2554,38.7446
7,-51.8,21,4.58258,16.4174,25.5826
8,-49,37,6.08276,30.9172,43.0828
9,-46.2,27,5.19615,21.8038,32.1962
10,-43.4,20,4.47214,15.5279,24.4721
11,-40.6,38,6.16441,31.8356,44.1644
12,-37.8,21,4.58258,16.4174,25.5826
13,-35,33,5.74456,27.2554,38.7446
14,-32.2,32,5.65685,26.3431,37.6569
15,-29.4,23,4.79583,18.2042,27.7958
16,-26.6,31,5.56776,25.4322,36.5678
17,-23.8,29,5.38516,23.6148,34.3852
18,-21,28,5.2915,22.7085,33.2915
19,-18.2,30,5.47723,24.5228,35.4772
20,-15.4,24,4.89898,19.101,28.899
21,-12.6,35,5.91608,29.0839,40.9161
22,-9.8,34,5.83095,28.169,39.831
23,-7,25,5,20,30
24,-4.2,17,4.12311,12.8769,21.1231
25,-1.4,41,6.40312,34.5969,47.4031
26,1.4,21,4.58258,16.4174,25.5826
27,4.2,23,4.79583,18.2042,27.7958
28,7,27,5.19615,21.8038,32.1962
29,9.8,24,4.89898,19.101,28.899
30,12.6,32,5.65685,26.3431,37.6569
31,15.4,21,4.58258,16.4174,25.5826
32,18.2,26,5.09902,20.901,31.099
33,21,35,5.91608,29.0839,40.9161
34,23.8,28,5.2915,22.7085,33.2915
35,26.6,25,5,20,30
36,29.4,25,5,20,30
37,32.2,43,6.55744,36.4426,49.5574
38,35,28,5.2915,22.7085,33.2915
39,37.8,29,5.38516,23.6148,34.3852
40,40.6,37,6.08276,30.9172,43.0828
41,43.4,42,6.48074,35.5193,48.4807
42,46.2,34,5.83095,28.169,39.831
43,49,44,6.63325,37.3668,50.6332
44,51.8,45,6.7082,38.2918,51.7082
45,54.6,38,6.16441,31.8356,44.1644
46,57.4,24,4.89898,19.101,28.899
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
