Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,185,13.6015,171.399,198.601
5,-57.4,802,28.3196,773.68,830.32
6,-54.6,799,28.2666,770.733,827.267
7,-51.8,749,27.3679,721.632,776.368
8,-49,807,28.4077,778.592,835.408
9,-46.2,715,26.7395,688.261,741.739
10,-43.4,732,27.0555,704.945,759.055
11,-40.6,729,27,702,756
12,-37.8,658,25.6515,632.348,683.652
13,-35,707,26.5895,680.411,733.589
14,-32.2,708,26.6083,681.392,734.608
15,-29.4,651,25.5147,625.485,676.515
16,-26.6,649,25.4755,623.525,674.475
17,-23.8,608,24.6577,583.342,632.658
18,-21,666,25.807,640.193,691.807
19,-18.2,624,24.98,599.02,648.98
20,-15.4,603,24.5561,578.444,627.556
21,-12.6,597,24.4336,572.566,621.434
22,-9.8,558,23.622,534.378,581.622
23,-7,559,23.6432,535.357,582.643
24,-4.2,165,12.8452,152.155,177.845
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,202,14.2127,187.787,216.213
28,7,571,23.8956,547.104,594.896
29,9.8,575,23.9792,551.021,598.979
30,12.6,613,24.7588,588.241,637.759
31,15.4,569,23.8537,545.146,592.854
32,18.2,555,23.5584,531.442,578.558
33,21,623,24.96,598.04,647.96
34,23.8,556,23.5797,532.42,579.58
35,26.6,586,24.2074,561.793,610.207
36,29.4,602,24.5357,577.464,626.536
37,32.2,649,25.4755,623.525,674.475
38,35,521,22.8254,498.175,543.825
39,37.8,532,23.0651,508.935,555.065
40,40.6,603,24.5561,578.444,627.556
41,43.4,556,23.5797,532.42,579.58
42,46.2,562,23.7065,538.293,585.707
43,49,609,24.6779,584.322,633.678
44,51.8,566,23.7908,542.209,589.791
45,54.6,575,23.9792,551.021,598.979
46,57.4,637,25.2389,611.761,662.239
47,60.2,94,9.69536,84.3046,103.695
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
