Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,8,2.82843,5.17157,10.8284
5,-57.4,41,6.40312,34.5969,47.4031
6,-54.6,34,5.83095,28.169,39.831
7,-51.8,26,5.09902,20.901,31.099
8,-49,40,6.32456,33.6754,46.3246
9,-46.2,24,4.89898,19.101,28.899
10,-43.4,23,4.79583,18.2042,27.7958
11,-40.6,24,4.89898,19.101,28.899
12,-37.8,19,4.3589,14.6411,23.3589
13,-35,52,7.2111,44.7889,59.2111
14,-32.2,31,5.56776,25.4322,36.5678
15,-29.4,25,5,20,30
16,-26.6,28,5.2915,22.7085,33.2915
17,-23.8,18,4.24264,13.7574,22.2426
18,-21,39,6.245,32.755,45.245
19,-18.2,28,5.2915,22.7085,33.2915
20,-15.4,30,5.47723,24.5228,35.4772
21,-12.6,26,5.09902,20.901,31.099
22,-9.8,30,5.47723,24.5228,35.4772
23,-7,36,6,30,42
24,-4.2,12,3.4641,8.5359,15.4641
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,7,2.64575,4.35425,9.64575
28,7,38,6.16441,31.8356,44.1644
29,9.8,39,6.245,32.755,45.245
30,12.6,35,5.91608,29.0839,40.9161
31,15.4,43,6.55744,36.4426,49.5574
32,18.2,32,5.65685,26.3431,37.6569
33,21,37,6.08276,30.9172,43.0828
34,23.8,33,5.74456,27.2554,38.7446
35,26.6,23,4.79583,18.2042,27.7958
36,29.4,31,5.56776,25.4322,36.5678
37,32.2,30,5.47723,24.5228,35.4772
38,35,32,5.65685,26.3431,37.6569
39,37.8,29,5.38516,23.6148,34.3852
40,40.6,33,5.74456,27.2554,38.7446
41,43.4,37,6.08276,30.9172,43.0828
42,46.2,31,5.56776,25.4322,36.5678
43,49,29,5.38516,23.6148,34.3852
44,51.8,28,5.2915,22.7085,33.2915
45,54.6,39,6.245,32.755,45.245
46,57.4,34,5.83095,28.169,39.831
47,60.2,5,2.23607,2.76393,7.23607
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
