Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,8,2.82843,5.17157,10.8284
4,-60.2,11,3.31662,7.68338,14.3166
5,-57.4,98,9.89949,88.1005,107.899
6,-54.6,100,10,90,110
7,-51.8,89,9.43398,79.566,98.434
8,-49,105,10.247,94.753,115.247
9,-46.2,97,9.84886,87.1511,106.849
10,-43.4,79,8.88819,70.1118,87.8882
11,-40.6,123,11.0905,111.909,134.091
12,-37.8,99,9.94987,89.0501,108.95
13,-35,103,10.1489,92.8511,113.149
14,-32.2,128,11.3137,116.686,139.314
15,-29.4,90,9.48683,80.5132,99.4868
16,-26.6,103,10.1489,92.8511,113.149
17,-23.8,77,8.77496,68.225,85.775
18,-21,98,9.89949,88.1005,107.899
19,-18.2,96,9.79796,86.202,105.798
20,-15.4,88,9.38083,78.6192,97.3808
21,-12.6,101,10.0499,90.9501,111.05
22,-9.8,71,8.42615,62.5739,79.4261
23,-7,75,8.66025,66.3397,83.6603
24,-4.2,49,7,42,56
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,33,5.74456,27.2554,38.7446
28,7,90,9.48683,80.5132,99.4868
29,9.8,67,8.18535,58.8146,75.1854
30,12.6,95,9.74679,85.2532,104.747
31,15.4,70,8.3666,61.6334,78.3666
32,18.2,70,8.3666,61.6334,78.3666
33,21,77,8.77496,68.225,85.775
34,23.8,53,7.28011,45.7199,60.2801
35,26.6,64,8,56,72
36,29.4,66,8.12404,57.876,74.124
37,32.2,103,10.1489,92.8511,113.149
38,35,75,8.66025,66.3397,83.6603
39,37.8,69,8.30662,60.6934,77.3066
40,40.6,79,8.88819,70.1118,87.8882
41,43.4,69,8.30662,60.6934,77.3066
42,46.2,65,8.06226,56.9377,73.0623
43,49,99,9.94987,89.0501,108.95
44,51.8,89,9.43398,79.566,98.434
45,54.6,66,8.12404,57.876,74.124
46,57.4,78,8.83176,69.1682,86.8318
47,60.2,8,2.82843,5.17157,10.8284
48,63,14,3.74166,10.2583,17.7417
49,65.8,0,0,0,0
50,68.6,0,0,0,0
