Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,1,1,0,2
4,-60.2,0,0,0,0
5,-57.4,11,3.31662,7.68338,14.3166
6,-54.6,3,1.73205,1.26795,4.73205
7,-51.8,3,1.73205,1.26795,4.73205
8,-49,3,1.73205,1.26795,4.73205
9,-46.2,2,1.41421,0.585786,3.41421
10,-43.4,2,1.41421,0.585786,3.41421
11,-40.6,7,2.64575,4.35425,9.64575
12,-37.8,5,2.23607,2.76393,7.23607
13,-35,8,2.82843,5.17157,10.8284
14,-32.2,7,2.64575,4.35425,9.64575
15,-29.4,3,1.73205,1.26795,4.73205
16,-26.6,8,2.82843,5.17157,10.8284
17,-23.8,3,1.73205,1.26795,4.73205
18,-21,3,1.73205,1.26795,4.73205
19,-18.2,8,2.82843,5.17157,10.8284
20,-15.4,3,1.73205,1.26795,4.73205
21,-12.6,4,2,2,6
22,-9.8,2,1.41421,0.585786,3.41421
23,-7,3,1.73205,1.26795,4.73205
24,-4.2,1,1,0,2
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,0,0,0,0
28,7,4,2,2,6
29,9.8,2,1.41421,0.585786,3.41421
30,12.6,4,2,2,6
31,15.4,1,1,0,2
32,18.2,4,2,2,6
33,21,3,1.73205,1.26795,4.73205
34,23.8,3,1.73205,1.26795,4.73205
35,26.6,0,0,0,0
36,29.4,3,1.73205,1.26795,4.73205
37,32.2,3,1.73205,1.26795,4.73205
38,35,1,1,0,2
39,37.8,2,1.41421,0.585786,3.41421
40,40.6,3,1.73205,1.26795,4.73205
41,43.4,1,1,0,2
42,46.2,3,1.73205,1.26795,4.73205
43,49,6,2.44949,3.55051,8.44949
44,51.8,3,1.73205,1.26795,4.73205
45,54.6,6,2.44949,3.55051,8.44949
46,57.4,1,1,0,2
47,60.2,1,1,0,2
48,63,1,1,0,2
49,65.8,0,0,0,0
50,68.6,0,0,0,0
