Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,48,6.9282,41.0718,54.9282
4,-60.2,39,6.245,32.755,45.245
5,-57.4,880,29.6648,850.335,909.665
6,-54.6,660,25.6905,634.31,685.69
7,-51.8,727,26.9629,700.037,753.963
8,-49,761,27.5862,733.414,788.586
9,-46.2,740,27.2029,712.797,767.203
10,-43.4,671,25.9037,645.096,696.904
11,-40.6,800,28.2843,771.716,828.284
12,-37.8,638,25.2587,612.741,663.259
13,-35,865,29.4109,835.589,894.411
14,-32.2,1116,33.4066,1082.59,1149.41
15,-29.4,676,26,650,702
16,-26.6,664,25.7682,638.232,689.768
17,-23.8,678,26.0384,651.962,704.038
18,-21,726,26.9444,699.056,752.944
19,-18.2,644,25.3772,618.623,669.377
20,-15.4,636,25.219,610.781,661.219
21,-12.6,762,27.6043,734.396,789.604
22,-9.8,625,25,600,650
23,-7,571,23.8956,547.104,594.896
24,-4.2,211,14.5258,196.474,225.526
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,240,15.4919,224.508,255.492
28,7,581,24.1039,556.896,605.104
29,9.8,591,24.3105,566.69,615.31
30,12.6,733,27.074,705.926,760.074
31,15.4,605,24.5967,580.403,629.597
32,18.2,619,24.8797,594.12,643.88
33,21,703,26.5141,676.486,729.514
34,23.8,603,24.5561,578.444,627.556
35,26.6,664,25.7682,638.232,689.768
36,29.4,662,25.7294,636.271,687.729
37,32.2,1061,32.573,1028.43,1093.57
38,35,801,28.3019,772.698,829.302
39,37.8,687,26.2107,660.789,713.211
40,40.6,811,28.4781,782.522,839.478
41,43.4,669,25.865,643.135,694.865
42,46.2,695,26.3629,668.637,721.363
43,49,743,27.258,715.742,770.258
44,51.8,653,25.5539,627.446,678.554
45,54.6,639,25.2784,613.722,664.278
46,57.4,790,28.1069,761.893,818.107
47,60.2,49,7,42,56
48,63,53,7.28011,45.7199,60.2801
49,65.8,0,0,0,0
50,68.6,0,0,0,0
