Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,3,1.73205,1.26795,4.73205
5,-57.4,23,4.79583,18.2042,27.7958
6,-54.6,25,5,20,30
7,-51.8,17,4.12311,12.8769,21.1231
8,-49,21,4.58258,16.4174,25.5826
9,-46.2,13,3.60555,9.39445,16.6056
10,-43.4,17,4.12311,12.8769,21.1231
11,-40.6,16,4,12,20
12,-37.8,19,4.3589,14.6411,23.3589
13,-35,27,5.19615,21.8038,32.1962
14,-32.2,53,7.28011,45.7199,60.2801
15,-29.4,27,5.19615,21.8038,32.1962
16,-26.6,19,4.3589,14.6411,23.3589
17,-23.8,22,4.69042,17.3096,26.6904
18,-21,31,5.56776,25.4322,36.5678
19,-18.2,30,5.47723,24.5228,35.4772
20,-15.4,22,4.69042,17.3096,26.6904
21,-12.6,29,5.38516,23.6148,34.3852
22,-9.8,25,5,20,30
23,-7,21,4.58258,16.4174,25.5826
24,-4.2,9,3,6,12
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,12,3.4641,8.5359,15.4641
28,7,30,5.47723,24.5228,35.4772
29,9.8,35,5.91608,29.0839,40.9161
30,12.6,23,4.79583,18.2042,27.7958
31,15.4,16,4,12,20
32,18.2,23,4.79583,18.2042,27.7958
33,21,13,3.60555,9.39445,16.6056
34,23.8,18,4.24264,13.7574,22.2426
35,26.6,13,3.60555,9.39445,16.6056
36,29.4,17,4.12311,12.8769,21.1231
37,32.2,37,6.08276,30.9172,43.0828
38,35,26,5.09902,20.901,31.099
39,37.8,22,4.69042,17.3096,26.6904
40,40.6,24,4.89898,19.101,28.899
41,43.4,27,5.19615,21.8038,32.1962
42,46.2,29,5.38516,23.6148,34.3852
43,49,15,3.87298,11.127,18.873
44,51.8,23,4.79583,18.2042,27.7958
45,54.6,29,5.38516,23.6148,34.3852
46,57.4,18,4.24264,13.7574,22.2426
47,60.2,0,0,0,0
48,63,3,1.73205,1.26795,4.73205
49,65.8,0,0,0,0
50,68.6,0,0,0,0
