Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,18,4.24264,13.7574,22.2426
4,-60.2,17,4.12311,12.8769,21.1231
5,-57.4,182,13.4907,168.509,195.491
6,-54.6,162,12.7279,149.272,174.728
7,-51.8,170,13.0384,156.962,183.038
8,-49,204,14.2829,189.717,218.283
9,-46.2,196,14,182,210
10,-43.4,177,13.3041,163.696,190.304
11,-40.6,201,14.1774,186.823,215.177
12,-37.8,181,13.4536,167.546,194.454
13,-35,222,14.8997,207.1,236.9
14,-32.2,302,17.3781,284.622,319.378
15,-29.4,190,13.784,176.216,203.784
16,-26.6,203,14.2478,188.752,217.248
17,-23.8,162,12.7279,149.272,174.728
18,-21,221,14.8661,206.134,235.866
19,-18.2,192,13.8564,178.144,205.856
20,-15.4,228,15.0997,212.9,243.1
21,-12.6,255,15.9687,239.031,270.969
22,-9.8,178,13.3417,164.658,191.342
23,-7,216,14.6969,201.303,230.697
24,-4.2,99,9.94987,89.0501,108.95
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,89,9.43398,79.566,98.434
28,7,219,14.7986,204.201,233.799
29,9.8,190,13.784,176.216,203.784
30,12.6,228,15.0997,212.9,243.1
31,15.4,152,12.3288,139.671,164.329
32,18.2,201,14.1774,186.823,215.177
33,21,192,13.8564,178.144,205.856
34,23.8,141,11.8743,129.126,152.874
35,26.6,182,13.4907,168.509,195.491
36,29.4,145,12.0416,132.958,157.042
37,32.2,222,14.8997,207.1,236.9
38,35,208,14.4222,193.578,222.422
39,37.8,181,13.4536,167.546,194.454
40,40.6,195,13.9642,181.036,208.964
41,43.4,173,13.1529,159.847,186.153
42,46.2,166,12.8841,153.116,178.884
43,49,204,14.2829,189.717,218.283
44,51.8,194,13.9284,180.072,207.928
45,54.6,158,12.5698,145.43,170.57
46,57.4,173,13.1529,159.847,186.153
47,60.2,24,4.89898,19.101,28.899
48,63,34,5.83095,28.169,39.831
49,65.8,0,0,0,0
50,68.6,0,0,0,0
