Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,4,2,2,6
4,-60.2,3,1.73205,1.26795,4.73205
5,-57.4,6,2.44949,3.55051,8.44949
6,-54.6,11,3.31662,7.68338,14.3166
7,-51.8,20,4.47214,15.5279,24.4721
8,-49,12,3.4641,8.5359,15.4641
9,-46.2,8,2.82843,5.17157,10.8284
10,-43.4,9,3,6,12
11,-40.6,18,4.24264,13.7574,22.2426
12,-37.8,7,2.64575,4.35425,9.64575
13,-35,15,3.87298,11.127,18.873
14,-32.2,15,3.87298,11.127,18.873
15,-29.4,11,3.31662,7.68338,14.3166
16,-26.6,14,3.74166,10.2583,17.7417
17,-23.8,11,3.31662,7.68338,14.3166
18,-21,18,4.24264,13.7574,22.2426
19,-18.2,15,3.87298,11.127,18.873
20,-15.4,15,3.87298,11.127,18.873
21,-12.6,11,3.31662,7.68338,14.3166
22,-9.8,15,3.87298,11.127,18.873
23,-7,16,4,12,20
24,-4.2,0,0,0,0
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,7,2.64575,4.35425,9.64575
28,7,9,3,6,12
29,9.8,6,2.44949,3.55051,8.44949
30,12.6,15,3.87298,11.127,18.873
31,15.4,7,2.64575,4.35425,9.64575
32,18.2,12,3.4641,8.5359,15.4641
33,21,8,2.82843,5.17157,10.8284
34,23.8,8,2.82843,5.17157,10.8284
35,26.6,2,1.41421,0.585786,3.41421
36,29.4,8,2.82843,5.17157,10.8284
37,32.2,8,2.82843,5.17157,10.8284
38,35,6,2.44949,3.55051,8.44949
39,37.8,7,2.64575,4.35425,9.64575
40,40.6,7,2.64575,4.35425,9.64575
41,43.4,7,2.64575,4.35425,9.64575
42,46.2,7,2.64575,4.35425,9.64575
43,49,7,2.64575,4.35425,9.64575
44,51.8,12,3.4641,8.5359,15.4641
45,54.6,12,3.4641,8.5359,15.4641
46,57.4,9,3,6,12
47,60.2,1,1,0,2
48,63,1,1,0,2
49,65.8,0,0,0,0
50,68.6,0,0,0,0
