Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,5,2.23607,2.76393,7.23607
4,-60.2,35,5.91608,29.0839,40.9161
5,-57.4,295,17.1756,277.824,312.176
6,-54.6,297,17.2337,279.766,314.234
7,-51.8,292,17.088,274.912,309.088
8,-49,395,19.8746,375.125,414.875
9,-46.2,296,17.2047,278.795,313.205
10,-43.4,286,16.9115,269.088,302.912
11,-40.6,363,19.0526,343.947,382.053
12,-37.8,292,17.088,274.912,309.088
13,-35,316,17.7764,298.224,333.776
14,-32.2,353,18.7883,334.212,371.788
15,-29.4,275,16.5831,258.417,291.583
16,-26.6,293,17.1172,275.883,310.117
17,-23.8,253,15.906,237.094,268.906
18,-21,293,17.1172,275.883,310.117
19,-18.2,260,16.1245,243.875,276.125
20,-15.4,264,16.2481,247.752,280.248
21,-12.6,311,17.6352,293.365,328.635
22,-9.8,238,15.4272,222.573,253.427
23,-7,241,15.5242,225.476,256.524
24,-4.2,100,10,90,110
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,87,9.32738,77.6726,96.3274
28,7,248,15.748,232.252,263.748
29,9.8,231,15.1987,215.801,246.199
30,12.6,324,18,306,342
31,15.4,244,15.6205,228.38,259.62
32,18.2,277,16.6433,260.357,293.643
33,21,347,18.6279,328.372,365.628
34,23.8,267,16.3401,250.66,283.34
35,26.6,292,17.088,274.912,309.088
36,29.4,278,16.6733,261.327,294.673
37,32.2,351,18.735,332.265,369.735
38,35,292,17.088,274.912,309.088
39,37.8,280,16.7332,263.267,296.733
40,40.6,358,18.9209,339.079,376.921
41,43.4,255,15.9687,239.031,270.969
42,46.2,274,16.5529,257.447,290.553
43,49,326,18.0555,307.945,344.055
44,51.8,267,16.3401,250.66,283.34
45,54.6,259,16.0935,242.907,275.093
46,57.4,230,15.1658,214.834,245.166
47,60.2,23,4.79583,18.2042,27.7958
48,63,7,2.64575,4.35425,9.64575
49,65.8,0,0,0,0
50,68.6,0,0,0,0
