Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,1,1,0,2
4,-60.2,4,2,2,6
5,-57.4,7,2.64575,4.35425,9.64575
6,-54.6,18,4.24264,13.7574,22.2426
7,-51.8,6,2.44949,3.55051,8.44949
8,-49,10,3.16228,6.83772,13.1623
9,-46.2,5,2.23607,2.76393,7.23607
10,-43.4,9,3,6,12
11,-40.6,8,2.82843,5.17157,10.8284
12,-37.8,15,3.87298,11.127,18.873
13,-35,9,3,6,12
14,-32.2,9,3,6,12
15,-29.4,9,3,6,12
16,-26.6,14,3.74166,10.2583,17.7417
17,-23.8,14,3.74166,10.2583,17.7417
18,-21,12,3.4641,8.5359,15.4641
19,-18.2,15,3.87298,11.127,18.873
20,-15.4,10,3.16228,6.83772,13.1623
21,-12.6,11,3.31662,7.68338,14.3166
22,-9.8,12,3.4641,8.5359,15.4641
23,-7,6,2.44949,3.55051,8.44949
24,-4.2,1,1,0,2
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,5,2.23607,2.76393,7.23607
28,7,8,2.82843,5.17157,10.8284
29,9.8,7,2.64575,4.35425,9.64575
30,12.6,4,2,2,6
31,15.4,12,3.4641,8.5359,15.4641
32,18.2,7,2.64575,4.35425,9.64575
33,21,6,2.44949,3.55051,8.44949
34,23.8,5,2.23607,2.76393,7.23607
35,26.6,4,2,2,6
36,29.4,6,2.44949,3.55051,8.44949
37,32.2,9,3,6,12
38,35,4,2,2,6
39,37.8,6,2.44949,3.55051,8.44949
40,40.6,6,2.44949,3.55051,8.44949
41,43.4,9,3,6,12
42,46.2,13,3.60555,9.39445,16.6056
43,49,14,3.74166,10.2583,17.7417
44,51.8,8,2.82843,5.17157,10.8284
45,54.6,11,3.31662,7.68338,14.3166
46,57.4,11,3.31662,7.68338,14.3166
47,60.2,2,1.41421,0.585786,3.41421
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
