Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,2,1.41421,0.585786,3.41421
4,-60.2,4,2,2,6
5,-57.4,52,7.2111,44.7889,59.2111
6,-54.6,92,9.59166,82.4083,101.592
7,-51.8,84,9.16515,74.8348,93.1652
8,-49,107,10.3441,96.6559,117.344
9,-46.2,88,9.38083,78.6192,97.3808
10,-43.4,87,9.32738,77.6726,96.3274
11,-40.6,96,9.79796,86.202,105.798
12,-37.8,75,8.66025,66.3397,83.6603
13,-35,77,8.77496,68.225,85.775
14,-32.2,95,9.74679,85.2532,104.747
15,-29.4,68,8.24621,59.7538,76.2462
16,-26.6,72,8.48528,63.5147,80.4853
17,-23.8,73,8.544,64.456,81.544
18,-21,93,9.64365,83.3563,102.644
19,-18.2,67,8.18535,58.8146,75.1854
20,-15.4,67,8.18535,58.8146,75.1854
21,-12.6,87,9.32738,77.6726,96.3274
22,-9.8,79,8.88819,70.1118,87.8882
23,-7,72,8.48528,63.5147,80.4853
24,-4.2,74,8.60233,65.3977,82.6023
25,-1.4,61,7.81025,53.1898,68.8102
26,1.4,93,9.64365,83.3563,102.644
27,4.2,81,9,72,90
28,7,79,8.88819,70.1118,87.8882
29,9.8,64,8,56,72
30,12.6,94,9.69536,84.3046,103.695
31,15.4,67,8.18535,58.8146,75.1854
32,18.2,74,8.60233,65.3977,82.6023
33,21,66,8.12404,57.876,74.124
34,23.8,78,8.83176,69.1682,86.8318
35,26.6,91,9.53939,81.4606,100.539
36,29.4,74,8.60233,65.3977,82.6023
37,32.2,108,10.3923,97.6077,118.392
38,35,67,8.18535,58.8146,75.1854
39,37.8,88,9.38083,78.6192,97.3808
40,40.6,97,9.84886,87.1511,106.849
41,43.4,82,9.05539,72.9446,91.0554
42,46.2,81,9,72,90
43,49,73,8.544,64.456,81.544
44,51.8,85,9.21954,75.7805,94.2195
45,54.6,111,10.5357,100.464,121.536
46,57.4,54,7.34847,46.6515,61.3485
47,60.2,4,2,2,6
48,63,4,2,2,6
49,65.8,0,0,0,0
50,68.6,0,0,0,0
