Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,1,1,0,2
5,-57.4,2,1.41421,0.585786,3.41421
6,-54.6,3,1.73205,1.26795,4.73205
7,-51.8,4,2,2,6
8,-49,4,2,2,6
9,-46.2,1,1,0,2
10,-43.4,3,1.73205,1.26795,4.73205
11,-40.6,2,1.41421,0.585786,3.41421
12,-37.8,1,1,0,2
13,-35,5,2.23607,2.76393,7.23607
14,-32.2,6,2.44949,3.55051,8.44949
15,-29.4,0,0,0,0
16,-26.6,6,2.44949,3.55051,8.44949
17,-23.8,3,1.73205,1.26795,4.73205
18,-21,3,1.73205,1.26795,4.73205
19,-18.2,7,2.64575,4.35425,9.64575
20,-15.4,2,1.41421,0.585786,3.41421
21,-12.6,4,2,2,6
22,-9.8,2,1.41421,0.585786,3.41421
23,-7,5,2.23607,2.76393,7.23607
24,-4.2,5,2.23607,2.76393,7.23607
25,-1.4,5,2.23607,2.76393,7.23607
26,1.4,1,1,0,2
27,4.2,3,1.73205,1.26795,4.73205
28,7,4,2,2,6
29,9.8,3,1.73205,1.26795,4.73205
30,12.6,4,2,2,6
31,15.4,2,1.41421,0.585786,3.41421
32,18.2,3,1.73205,1.26795,4.73205
33,21,8,2.82843,5.17157,10.8284
34,23.8,1,1,0,2
35,26.6,3,1.73205,1.26795,4.73205
36,29.4,3,1.73205,1.26795,4.73205
37,32.2,7,2.64575,4.35425,9.64575
38,35,4,2,2,6
39,37.8,1,1,0,2
40,40.6,2,1.41421,0.585786,3.41421
41,43.4,4,2,2,6
42,46.2,3,1.73205,1.26795,4.73205
43,49,6,2.44949,3.55051,8.44949
44,51.8,4,2,2,6
45,54.6,2,1.41421,0.585786,3.41421
46,57.4,3,1.73205,1.26795,4.73205
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
