Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,38,6.16441,31.8356,44.1644
4,-60.2,18,4.24264,13.7574,22.2426
5,-57.4,374,19.3391,354.661,393.339
6,-54.6,769,27.7308,741.269,796.731
7,-51.8,707,26.5895,680.411,733.589
8,-49,869,29.4788,839.521,898.479
9,-46.2,745,27.2947,717.705,772.295
10,-43.4,685,26.1725,658.827,711.173
11,-40.6,789,28.0891,760.911,817.089
12,-37.8,659,25.671,633.329,684.671
13,-35,714,26.7208,687.279,740.721
14,-32.2,724,26.9072,697.093,750.907
15,-29.4,622,24.9399,597.06,646.94
16,-26.6,659,25.671,633.329,684.671
17,-23.8,626,25.02,600.98,651.02
18,-21,796,28.2135,767.787,824.213
19,-18.2,631,25.1197,605.88,656.12
20,-15.4,654,25.5734,628.427,679.573
21,-12.6,739,27.1846,711.815,766.185
22,-9.8,664,25.7682,638.232,689.768
23,-7,572,23.9165,548.083,595.917
24,-4.2,709,26.6271,682.373,735.627
25,-1.4,679,26.0576,652.942,705.058
26,1.4,648,25.4558,622.544,673.456
27,4.2,766,27.6767,738.323,793.677
28,7,626,25.02,600.98,651.02
29,9.8,638,25.2587,612.741,663.259
30,12.6,734,27.0924,706.908,761.092
31,15.4,565,23.7697,541.23,588.77
32,18.2,637,25.2389,611.761,662.239
33,21,611,24.7184,586.282,635.718
34,23.8,600,24.4949,575.505,624.495
35,26.6,686,26.1916,659.808,712.192
36,29.4,602,24.5357,577.464,626.536
37,32.2,707,26.5895,680.411,733.589
38,35,561,23.6854,537.315,584.685
39,37.8,639,25.2784,613.722,664.278
40,40.6,698,26.4197,671.58,724.42
41,43.4,608,24.6577,583.342,632.658
42,46.2,642,25.3377,616.662,667.338
43,49,722,26.8701,695.13,748.87
44,51.8,614,24.779,589.221,638.779
45,54.6,685,26.1725,658.827,711.173
46,57.4,316,17.7764,298.224,333.776
47,60.2,15,3.87298,11.127,18.873
48,63,28,5.2915,22.7085,33.2915
49,65.8,0,0,0,0
50,68.6,0,0,0,0
