Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,3,1.73205,1.26795,4.73205
5,-57.4,8,2.82843,5.17157,10.8284
6,-54.6,24,4.89898,19.101,28.899
7,-51.8,17,4.12311,12.8769,21.1231
8,-49,29,5.38516,23.6148,34.3852
9,-46.2,22,4.69042,17.3096,26.6904
10,-43.4,20,4.47214,15.5279,24.4721
11,-40.6,32,5.65685,26.3431,37.6569
12,-37.8,17,4.12311,12.8769,21.1231
13,-35,28,5.2915,22.7085,33.2915
14,-32.2,26,5.09902,20.901,31.099
15,-29.4,18,4.24264,13.7574,22.2426
16,-26.6,20,4.47214,15.5279,24.4721
17,-23.8,21,4.58258,16.4174,25.5826
18,-21,24,4.89898,19.101,28.899
19,-18.2,18,4.24264,13.7574,22.2426
20,-15.4,23,4.79583,18.2042,27.7958
21,-12.6,28,5.2915,22.7085,33.2915
22,-9.8,28,5.2915,22.7085,33.2915
23,-7,19,4.3589,14.6411,23.3589
24,-4.2,17,4.12311,12.8769,21.1231
25,-1.4,24,4.89898,19.101,28.899
26,1.4,10,3.16228,6.83772,13.1623
27,4.2,18,4.24264,13.7574,22.2426
28,7,22,4.69042,17.3096,26.6904
29,9.8,21,4.58258,16.4174,25.5826
30,12.6,17,4.12311,12.8769,21.1231
31,15.4,15,3.87298,11.127,18.873
32,18.2,19,4.3589,14.6411,23.3589
33,21,20,4.47214,15.5279,24.4721
34,23.8,21,4.58258,16.4174,25.5826
35,26.6,20,4.47214,15.5279,24.4721
36,29.4,17,4.12311,12.8769,21.1231
37,32.2,34,5.83095,28.169,39.831
38,35,17,4.12311,12.8769,21.1231
39,37.8,14,3.74166,10.2583,17.7417
40,40.6,23,4.79583,18.2042,27.7958
41,43.4,26,5.09902,20.901,31.099
42,46.2,23,4.79583,18.2042,27.7958
43,49,34,5.83095,28.169,39.831
44,51.8,31,5.56776,25.4322,36.5678
45,54.6,37,6.08276,30.9172,43.0828
46,57.4,17,4.12311,12.8769,21.1231
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
