Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,9,3,6,12
4,-60.2,6,2.44949,3.55051,8.44949
5,-57.4,90,9.48683,80.5132,99.4868
6,-54.6,158,12.5698,145.43,170.57
7,-51.8,174,13.1909,160.809,187.191
8,-49,220,14.8324,205.168,234.832
9,-46.2,190,13.784,176.216,203.784
10,-43.4,185,13.6015,171.399,198.601
11,-40.6,190,13.784,176.216,203.784
12,-37.8,173,13.1529,159.847,186.153
13,-35,205,14.3178,190.682,219.318
14,-32.2,190,13.784,176.216,203.784
15,-29.4,169,13,156,182
16,-26.6,178,13.3417,164.658,191.342
17,-23.8,187,13.6748,173.325,200.675
18,-21,213,14.5945,198.405,227.595
19,-18.2,200,14.1421,185.858,214.142
20,-15.4,182,13.4907,168.509,195.491
21,-12.6,203,14.2478,188.752,217.248
22,-9.8,190,13.784,176.216,203.784
23,-7,172,13.1149,158.885,185.115
24,-4.2,229,15.1327,213.867,244.133
25,-1.4,181,13.4536,167.546,194.454
26,1.4,188,13.7113,174.289,201.711
27,4.2,225,15,210,240
28,7,182,13.4907,168.509,195.491
29,9.8,196,14,182,210
30,12.6,218,14.7648,203.235,232.765
31,15.4,185,13.6015,171.399,198.601
32,18.2,190,13.784,176.216,203.784
33,21,203,14.2478,188.752,217.248
34,23.8,172,13.1149,158.885,185.115
35,26.6,176,13.2665,162.734,189.266
36,29.4,159,12.6095,146.39,171.61
37,32.2,207,14.3875,192.613,221.387
38,35,172,13.1149,158.885,185.115
39,37.8,167,12.9228,154.077,179.923
40,40.6,195,13.9642,181.036,208.964
41,43.4,176,13.2665,162.734,189.266
42,46.2,173,13.1529,159.847,186.153
43,49,168,12.9615,155.039,180.961
44,51.8,133,11.5326,121.467,144.533
45,54.6,168,12.9615,155.039,180.961
46,57.4,76,8.7178,67.2822,84.7178
47,60.2,5,2.23607,2.76393,7.23607
48,63,19,4.3589,14.6411,23.3589
49,65.8,0,0,0,0
50,68.6,0,0,0,0
