Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,1,1,0,2
6,-54.6,9,3,6,12
7,-51.8,5,2.23607,2.76393,7.23607
8,-49,11,3.31662,7.68338,14.3166
9,-46.2,9,3,6,12
10,-43.4,6,2.44949,3.55051,8.44949
11,-40.6,15,3.87298,11.127,18.873
12,-37.8,9,3,6,12
13,-35,8,2.82843,5.17157,10.8284
14,-32.2,13,3.60555,9.39445,16.6056
15,-29.4,6,2.44949,3.55051,8.44949
16,-26.6,11,3.31662,7.68338,14.3166
17,-23.8,10,3.16228,6.83772,13.1623
18,-21,10,3.16228,6.83772,13.1623
19,-18.2,13,3.60555,9.39445,16.6056
20,-15.4,6,2.44949,3.55051,8.44949
21,-12.6,18,4.24264,13.7574,22.2426
22,-9.8,13,3.60555,9.39445,16.6056
23,-7,9,3,6,12
24,-4.2,8,2.82843,5.17157,10.8284
25,-1.4,12,3.4641,8.5359,15.4641
26,1.4,9,3,6,12
27,4.2,6,2.44949,3.55051,8.44949
28,7,9,3,6,12
29,9.8,10,3.16228,6.83772,13.1623
30,12.6,13,3.60555,9.39445,16.6056
31,15.4,14,3.74166,10.2583,17.7417
32,18.2,8,2.82843,5.17157,10.8284
33,21,16,4,12,20
34,23.8,3,1.73205,1.26795,4.73205
35,26.6,10,3.16228,6.83772,13.1623
36,29.4,7,2.64575,4.35425,9.64575
37,32.2,15,3.87298,11.127,18.873
38,35,13,3.60555,9.39445,16.6056
39,37.8,13,3.60555,9.39445,16.6056
40,40.6,13,3.60555,9.39445,16.6056
41,43.4,14,3.74166,10.2583,17.7417
42,46.2,9,3,6,12
43,49,10,3.16228,6.83772,13.1623
44,51.8,9,3,6,12
45,54.6,11,3.31662,7.68338,14.3166
46,57.4,6,2.44949,3.55051,8.44949
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
