Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,11,3.31662,7.68338,14.3166
4,-60.2,4,2,2,6
5,-57.4,96,9.79796,86.202,105.798
6,-54.6,323,17.9722,305.028,340.972
7,-51.8,271,16.4621,254.538,287.462
8,-49,313,17.6918,295.308,330.692
9,-46.2,306,17.4929,288.507,323.493
10,-43.4,293,17.1172,275.883,310.117
11,-40.6,346,18.6011,327.399,364.601
12,-37.8,247,15.7162,231.284,262.716
13,-35,320,17.8885,302.111,337.889
14,-32.2,278,16.6733,261.327,294.673
15,-29.4,250,15.8114,234.189,265.811
16,-26.6,265,16.2788,248.721,281.279
17,-23.8,287,16.9411,270.059,303.941
18,-21,359,18.9473,340.053,377.947
19,-18.2,281,16.7631,264.237,297.763
20,-15.4,242,15.5563,226.444,257.556
21,-12.6,275,16.5831,258.417,291.583
22,-9.8,252,15.8745,236.125,267.875
23,-7,229,15.1327,213.867,244.133
24,-4.2,296,17.2047,278.795,313.205
25,-1.4,259,16.0935,242.907,275.093
26,1.4,240,15.4919,224.508,255.492
27,4.2,294,17.1464,276.854,311.146
28,7,251,15.843,235.157,266.843
29,9.8,226,15.0333,210.967,241.033
30,12.6,332,18.2209,313.779,350.221
31,15.4,245,15.6525,229.348,260.652
32,18.2,293,17.1172,275.883,310.117
33,21,264,16.2481,247.752,280.248
34,23.8,229,15.1327,213.867,244.133
35,26.6,311,17.6352,293.365,328.635
36,29.4,257,16.0312,240.969,273.031
37,32.2,289,17,272,306
38,35,209,14.4568,194.543,223.457
39,37.8,259,16.0935,242.907,275.093
40,40.6,301,17.3494,283.651,318.349
41,43.4,265,16.2788,248.721,281.279
42,46.2,269,16.4012,252.599,285.401
43,49,289,17,272,306
44,51.8,242,15.5563,226.444,257.556
45,54.6,270,16.4317,253.568,286.432
46,57.4,127,11.2694,115.731,138.269
47,60.2,1,1,0,2
48,63,4,2,2,6
49,65.8,0,0,0,0
50,68.6,0,0,0,0
