Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,7,2.64575,4.35425,9.64575
6,-54.6,10,3.16228,6.83772,13.1623
7,-51.8,4,2,2,6
8,-49,9,3,6,12
9,-46.2,8,2.82843,5.17157,10.8284
10,-43.4,3,1.73205,1.26795,4.73205
11,-40.6,12,3.4641,8.5359,15.4641
12,-37.8,12,3.4641,8.5359,15.4641
13,-35,10,3.16228,6.83772,13.1623
14,-32.2,9,3,6,12
15,-29.4,6,2.44949,3.55051,8.44949
16,-26.6,11,3.31662,7.68338,14.3166
17,-23.8,10,3.16228,6.83772,13.1623
18,-21,6,2.44949,3.55051,8.44949
19,-18.2,10,3.16228,6.83772,13.1623
20,-15.4,4,2,2,6
21,-12.6,13,3.60555,9.39445,16.6056
22,-9.8,7,2.64575,4.35425,9.64575
23,-7,8,2.82843,5.17157,10.8284
24,-4.2,5,2.23607,2.76393,7.23607
25,-1.4,8,2.82843,5.17157,10.8284
26,1.4,7,2.64575,4.35425,9.64575
27,4.2,11,3.31662,7.68338,14.3166
28,7,5,2.23607,2.76393,7.23607
29,9.8,5,2.23607,2.76393,7.23607
30,12.6,9,3,6,12
31,15.4,2,1.41421,0.585786,3.41421
32,18.2,8,2.82843,5.17157,10.8284
33,21,10,3.16228,6.83772,13.1623
34,23.8,4,2,2,6
35,26.6,7,2.64575,4.35425,9.64575
36,29.4,8,2.82843,5.17157,10.8284
37,32.2,18,4.24264,13.7574,22.2426
38,35,7,2.64575,4.35425,9.64575
39,37.8,11,3.31662,7.68338,14.3166
40,40.6,13,3.60555,9.39445,16.6056
41,43.4,15,3.87298,11.127,18.873
42,46.2,7,2.64575,4.35425,9.64575
43,49,18,4.24264,13.7574,22.2426
44,51.8,10,3.16228,6.83772,13.1623
45,54.6,8,2.82843,5.17157,10.8284
46,57.4,7,2.64575,4.35425,9.64575
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
