Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,17,4.12311,12.8769,21.1231
3,-63,8,2.82843,5.17157,10.8284
4,-60.2,54,7.34847,46.6515,61.3485
5,-57.4,133,11.5326,121.467,144.533
6,-54.6,118,10.8628,107.137,128.863
7,-51.8,111,10.5357,100.464,121.536
8,-49,116,10.7703,105.23,126.77
9,-46.2,123,11.0905,111.909,134.091
10,-43.4,101,10.0499,90.9501,111.05
11,-40.6,108,10.3923,97.6077,118.392
12,-37.8,116,10.7703,105.23,126.77
13,-35,92,9.59166,82.4083,101.592
14,-32.2,99,9.94987,89.0501,108.95
15,-29.4,84,9.16515,74.8348,93.1652
16,-26.6,88,9.38083,78.6192,97.3808
17,-23.8,76,8.7178,67.2822,84.7178
18,-21,102,10.0995,91.9005,112.1
19,-18.2,72,8.48528,63.5147,80.4853
20,-15.4,83,9.11043,73.8896,92.1104
21,-12.6,96,9.79796,86.202,105.798
22,-9.8,73,8.544,64.456,81.544
23,-7,84,9.16515,74.8348,93.1652
24,-4.2,47,6.85565,40.1443,53.8557
25,-1.4,0,0,0,0
26,1.4,17,4.12311,12.8769,21.1231
27,4.2,48,6.9282,41.0718,54.9282
28,7,61,7.81025,53.1898,68.8102
29,9.8,75,8.66025,66.3397,83.6603
30,12.6,78,8.83176,69.1682,86.8318
31,15.4,73,8.544,64.456,81.544
32,18.2,62,7.87401,54.126,69.874
33,21,91,9.53939,81.4606,100.539
34,23.8,63,7.93725,55.0627,70.9373
35,26.6,61,7.81025,53.1898,68.8102
36,29.4,66,8.12404,57.876,74.124
37,32.2,98,9.89949,88.1005,107.899
38,35,52,7.2111,44.7889,59.2111
39,37.8,77,8.77496,68.225,85.775
40,40.6,81,9,72,90
41,43.4,63,7.93725,55.0627,70.9373
42,46.2,55,7.4162,47.5838,62.4162
43,49,69,8.30662,60.6934,77.3066
44,51.8,65,8.06226,56.9377,73.0623
45,54.6,55,7.4162,47.5838,62.4162
46,57.4,62,7.87401,54.126,69.874
47,60.2,8,2.82843,5.17157,10.8284
48,63,2,1.41421,0.585786,3.41421
49,65.8,4,2,2,6
50,68.6,0,0,0,0
