Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,1,1,0,2
4,-60.2,3,1.73205,1.26795,4.73205
5,-57.4,1,1,0,2
6,-54.6,4,2,2,6
7,-51.8,2,1.41421,0.585786,3.41421
8,-49,6,2.44949,3.55051,8.44949
9,-46.2,3,1.73205,1.26795,4.73205
10,-43.4,2,1.41421,0.585786,3.41421
11,-40.6,3,1.73205,1.26795,4.73205
12,-37.8,2,1.41421,0.585786,3.41421
13,-35,9,3,6,12
14,-32.2,4,2,2,6
15,-29.4,3,1.73205,1.26795,4.73205
16,-26.6,5,2.23607,2.76393,7.23607
17,-23.8,4,2,2,6
18,-21,10,3.16228,6.83772,13.1623
19,-18.2,1,1,0,2
20,-15.4,4,2,2,6
21,-12.6,3,1.73205,1.26795,4.73205
22,-9.8,5,2.23607,2.76393,7.23607
23,-7,2,1.41421,0.585786,3.41421
24,-4.2,3,1.73205,1.26795,4.73205
25,-1.4,0,0,0,0
26,1.4,1,1,0,2
27,4.2,1,1,0,2
28,7,6,2.44949,3.55051,8.44949
29,9.8,4,2,2,6
30,12.6,5,2.23607,2.76393,7.23607
31,15.4,6,2.44949,3.55051,8.44949
32,18.2,4,2,2,6
33,21,5,2.23607,2.76393,7.23607
34,23.8,3,1.73205,1.26795,4.73205
35,26.6,1,1,0,2
36,29.4,3,1.73205,1.26795,4.73205
37,32.2,4,2,2,6
38,35,5,2.23607,2.76393,7.23607
39,37.8,3,1.73205,1.26795,4.73205
40,40.6,5,2.23607,2.76393,7.23607
41,43.4,1,1,0,2
42,46.2,0,0,0,0
43,49,2,1.41421,0.585786,3.41421
44,51.8,3,1.73205,1.26795,4.73205
45,54.6,2,1.41421,0.585786,3.41421
46,57.4,0,0,0,0
47,60.2,1,1,0,2
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
