Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,204,14.2829,189.717,218.283
3,-63,13,3.60555,9.39445,16.6056
4,-60.2,183,13.5277,169.472,196.528
5,-57.4,811,28.4781,782.522,839.478
6,-54.6,765,27.6586,737.341,792.659
7,-51.8,769,27.7308,741.269,796.731
8,-49,824,28.7054,795.295,852.705
9,-46.2,734,27.0924,706.908,761.092
10,-43.4,735,27.1109,707.889,762.111
11,-40.6,776,27.8568,748.143,803.857
12,-37.8,710,26.6458,683.354,736.646
13,-35,704,26.533,677.467,730.533
14,-32.2,758,27.5318,730.468,785.532
15,-29.4,678,26.0384,651.962,704.038
16,-26.6,643,25.3574,617.643,668.357
17,-23.8,651,25.5147,625.485,676.515
18,-21,745,27.2947,717.705,772.295
19,-18.2,596,24.4131,571.587,620.413
20,-15.4,647,25.4362,621.564,672.436
21,-12.6,630,25.0998,604.9,655.1
22,-9.8,555,23.5584,531.442,578.558
23,-7,594,24.3721,569.628,618.372
24,-4.2,256,16,240,272
25,-1.4,0,0,0,0
26,1.4,72,8.48528,63.5147,80.4853
27,4.2,293,17.1172,275.883,310.117
28,7,583,24.1454,558.855,607.145
29,9.8,576,24,552,600
30,12.6,709,26.6271,682.373,735.627
31,15.4,663,25.7488,637.251,688.749
32,18.2,613,24.7588,588.241,637.759
33,21,754,27.4591,726.541,781.459
34,23.8,627,25.04,601.96,652.04
35,26.6,642,25.3377,616.662,667.338
36,29.4,737,27.1477,709.852,764.148
37,32.2,817,28.5832,788.417,845.583
38,35,608,24.6577,583.342,632.658
39,37.8,644,25.3772,618.623,669.377
40,40.6,729,27,702,756
41,43.4,673,25.9422,647.058,698.942
42,46.2,686,26.1916,659.808,712.192
43,49,835,28.8964,806.104,863.896
44,51.8,729,27,702,756
45,54.6,693,26.3249,666.675,719.325
46,57.4,857,29.2746,827.725,886.275
47,60.2,210,14.4914,195.509,224.491
48,63,24,4.89898,19.101,28.899
49,65.8,35,5.91608,29.0839,40.9161
50,68.6,0,0,0,0
