Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,2,1.41421,0.585786,3.41421
4,-60.2,5,2.23607,2.76393,7.23607
5,-57.4,34,5.83095,28.169,39.831
6,-54.6,29,5.38516,23.6148,34.3852
7,-51.8,20,4.47214,15.5279,24.4721
8,-49,22,4.69042,17.3096,26.6904
9,-46.2,15,3.87298,11.127,18.873
10,-43.4,17,4.12311,12.8769,21.1231
11,-40.6,13,3.60555,9.39445,16.6056
12,-37.8,19,4.3589,14.6411,23.3589
13,-35,37,6.08276,30.9172,43.0828
14,-32.2,34,5.83095,28.169,39.831
15,-29.4,24,4.89898,19.101,28.899
16,-26.6,22,4.69042,17.3096,26.6904
17,-23.8,11,3.31662,7.68338,14.3166
18,-21,23,4.79583,18.2042,27.7958
19,-18.2,21,4.58258,16.4174,25.5826
20,-15.4,14,3.74166,10.2583,17.7417
21,-12.6,15,3.87298,11.127,18.873
22,-9.8,22,4.69042,17.3096,26.6904
23,-7,22,4.69042,17.3096,26.6904
24,-4.2,21,4.58258,16.4174,25.5826
25,-1.4,0,0,0,0
26,1.4,3,1.73205,1.26795,4.73205
27,4.2,7,2.64575,4.35425,9.64575
28,7,22,4.69042,17.3096,26.6904
29,9.8,23,4.79583,18.2042,27.7958
30,12.6,21,4.58258,16.4174,25.5826
31,15.4,26,5.09902,20.901,31.099
32,18.2,22,4.69042,17.3096,26.6904
33,21,18,4.24264,13.7574,22.2426
34,23.8,16,4,12,20
35,26.6,13,3.60555,9.39445,16.6056
36,29.4,16,4,12,20
37,32.2,22,4.69042,17.3096,26.6904
38,35,21,4.58258,16.4174,25.5826
39,37.8,21,4.58258,16.4174,25.5826
40,40.6,24,4.89898,19.101,28.899
41,43.4,33,5.74456,27.2554,38.7446
42,46.2,23,4.79583,18.2042,27.7958
43,49,30,5.47723,24.5228,35.4772
44,51.8,30,5.47723,24.5228,35.4772
45,54.6,33,5.74456,27.2554,38.7446
46,57.4,45,6.7082,38.2918,51.7082
47,60.2,9,3,6,12
48,63,1,1,0,2
49,65.8,1,1,0,2
50,68.6,0,0,0,0
