Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,84,9.16515,74.8348,93.1652
3,-63,21,4.58258,16.4174,25.5826
4,-60.2,83,9.11043,73.8896,92.1104
5,-57.4,265,16.2788,248.721,281.279
6,-54.6,240,15.4919,224.508,255.492
7,-51.8,224,14.9666,209.033,238.967
8,-49,276,16.6132,259.387,292.613
9,-46.2,235,15.3297,219.67,250.33
10,-43.4,253,15.906,237.094,268.906
11,-40.6,256,16,240,272
12,-37.8,205,14.3178,190.682,219.318
13,-35,199,14.1067,184.893,213.107
14,-32.2,253,15.906,237.094,268.906
15,-29.4,208,14.4222,193.578,222.422
16,-26.6,202,14.2127,187.787,216.213
17,-23.8,198,14.0712,183.929,212.071
18,-21,226,15.0333,210.967,241.033
19,-18.2,223,14.9332,208.067,237.933
20,-15.4,189,13.7477,175.252,202.748
21,-12.6,196,14,182,210
22,-9.8,194,13.9284,180.072,207.928
23,-7,159,12.6095,146.39,171.61
24,-4.2,85,9.21954,75.7805,94.2195
25,-1.4,0,0,0,0
26,1.4,48,6.9282,41.0718,54.9282
27,4.2,162,12.7279,149.272,174.728
28,7,158,12.5698,145.43,170.57
29,9.8,158,12.5698,145.43,170.57
30,12.6,181,13.4536,167.546,194.454
31,15.4,171,13.0767,157.923,184.077
32,18.2,177,13.3041,163.696,190.304
33,21,187,13.6748,173.325,200.675
34,23.8,173,13.1529,159.847,186.153
35,26.6,172,13.1149,158.885,185.115
36,29.4,172,13.1149,158.885,185.115
37,32.2,176,13.2665,162.734,189.266
38,35,120,10.9545,109.046,130.954
39,37.8,149,12.2066,136.793,161.207
40,40.6,176,13.2665,162.734,189.266
41,43.4,128,11.3137,116.686,139.314
42,46.2,151,12.2882,138.712,163.288
43,49,137,11.7047,125.295,148.705
44,51.8,120,10.9545,109.046,130.954
45,54.6,109,10.4403,98.5597,119.44
46,57.4,107,10.3441,96.6559,117.344
47,60.2,30,5.47723,24.5228,35.4772
48,63,4,2,2,6
49,65.8,7,2.64575,4.35425,9.64575
50,68.6,0,0,0,0
