Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,40,6.32456,33.6754,46.3246
3,-63,11,3.31662,7.68338,14.3166
4,-60.2,98,9.89949,88.1005,107.899
5,-57.4,401,20.025,380.975,421.025
6,-54.6,367,19.1572,347.843,386.157
7,-51.8,396,19.8997,376.1,415.9
8,-49,420,20.4939,399.506,440.494
9,-46.2,361,19,342,380
10,-43.4,346,18.6011,327.399,364.601
11,-40.6,362,19.0263,342.974,381.026
12,-37.8,328,18.1108,309.889,346.111
13,-35,338,18.3848,319.615,356.385
14,-32.2,390,19.7484,370.252,409.748
15,-29.4,296,17.2047,278.795,313.205
16,-26.6,314,17.72,296.28,331.72
17,-23.8,311,17.6352,293.365,328.635
18,-21,352,18.7617,333.238,370.762
19,-18.2,275,16.5831,258.417,291.583
20,-15.4,233,15.2643,217.736,248.264
21,-12.6,264,16.2481,247.752,280.248
22,-9.8,238,15.4272,222.573,253.427
23,-7,238,15.4272,222.573,253.427
24,-4.2,90,9.48683,80.5132,99.4868
25,-1.4,0,0,0,0
26,1.4,19,4.3589,14.6411,23.3589
27,4.2,142,11.9164,130.084,153.916
28,7,232,15.2315,216.768,247.232
29,9.8,247,15.7162,231.284,262.716
30,12.6,295,17.1756,277.824,312.176
31,15.4,248,15.748,232.252,263.748
32,18.2,225,15,210,240
33,21,284,16.8523,267.148,300.852
34,23.8,230,15.1658,214.834,245.166
35,26.6,262,16.1864,245.814,278.186
36,29.4,257,16.0312,240.969,273.031
37,32.2,251,15.843,235.157,266.843
38,35,237,15.3948,221.605,252.395
39,37.8,222,14.8997,207.1,236.9
40,40.6,266,16.3095,249.69,282.31
41,43.4,226,15.0333,210.967,241.033
42,46.2,212,14.5602,197.44,226.56
43,49,245,15.6525,229.348,260.652
44,51.8,217,14.7309,202.269,231.731
45,54.6,221,14.8661,206.134,235.866
46,57.4,221,14.8661,206.134,235.866
47,60.2,36,6,30,42
48,63,4,2,2,6
49,65.8,2,1.41421,0.585786,3.41421
50,68.6,0,0,0,0
