Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,2,1.41421,0.585786,3.41421
4,-60.2,3,1.73205,1.26795,4.73205
5,-57.4,9,3,6,12
6,-54.6,12,3.4641,8.5359,15.4641
7,-51.8,9,3,6,12
8,-49,9,3,6,12
9,-46.2,9,3,6,12
10,-43.4,8,2.82843,5.17157,10.8284
11,-40.6,10,3.16228,6.83772,13.1623
12,-37.8,7,2.64575,4.35425,9.64575
13,-35,11,3.31662,7.68338,14.3166
14,-32.2,14,3.74166,10.2583,17.7417
15,-29.4,14,3.74166,10.2583,17.7417
16,-26.6,6,2.44949,3.55051,8.44949
17,-23.8,9,3,6,12
18,-21,12,3.4641,8.5359,15.4641
19,-18.2,2,1.41421,0.585786,3.41421
20,-15.4,10,3.16228,6.83772,13.1623
21,-12.6,10,3.16228,6.83772,13.1623
22,-9.8,7,2.64575,4.35425,9.64575
23,-7,7,2.64575,4.35425,9.64575
24,-4.2,4,2,2,6
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,4,2,2,6
28,7,8,2.82843,5.17157,10.8284
29,9.8,11,3.31662,7.68338,14.3166
30,12.6,8,2.82843,5.17157,10.8284
31,15.4,15,3.87298,11.127,18.873
32,18.2,7,2.64575,4.35425,9.64575
33,21,13,3.60555,9.39445,16.6056
34,23.8,10,3.16228,6.83772,13.1623
35,26.6,9,3,6,12
36,29.4,7,2.64575,4.35425,9.64575
37,32.2,15,3.87298,11.127,18.873
38,35,5,2.23607,2.76393,7.23607
39,37.8,12,3.4641,8.5359,15.4641
40,40.6,13,3.60555,9.39445,16.6056
41,43.4,7,2.64575,4.35425,9.64575
42,46.2,7,2.64575,4.35425,9.64575
43,49,6,2.44949,3.55051,8.44949
44,51.8,3,1.73205,1.26795,4.73205
45,54.6,6,2.44949,3.55051,8.44949
46,57.4,10,3.16228,6.83772,13.1623
47,60.2,1,1,0,2
48,63,1,1,0,2
49,65.8,0,0,0,0
50,68.6,0,0,0,0
