histogram,entries,mean,std_dev
reco_mult_prim_total,24627.00,2.03,1.31
reco_mult_prim_shower,31020.00,1.94,2.00
reco_mult_muon,19919.00,1.40,0.71
reco_mult_pion,6246.00,1.22,0.63
reco_mult_proton,9107.00,1.24,0.55
reco_mult_kaon,2763.00,1.23,0.58
reco_length_prim_muon,27790.00,41.11,27.08
reco_length_prim_pion,7647.00,26.95,22.17
reco_length_prim_proton,11270.00,21.35,20.29
reco_length_prim_kaon,3387.00,29.74,24.10
reco_energy_prim_muon,27790.00,0.20,0.12
reco_energy_prim_pion,7647.00,0.11,0.09
reco_energy_prim_proton,11270.00,0.17,0.11
reco_energy_prim_kaon,3387.00,0.18,0.11
reco_cosTheta_prim_muon,27790.00,0.52,0.72
reco_cosTheta_prim_pion,7647.00,0.43,0.69
reco_cosTheta_prim_proton,11270.00,0.47,0.58
reco_cosTheta_prim_kaon,3387.00,0.38,0.75
reco_start_x_muon,27790.00,-0.65,36.20
reco_start_y_muon,27790.00,-1.60,33.64
reco_start_z_muon,27790.00,-0.68,37.15
reco_start_x_pion,7647.00,-0.93,35.02
reco_start_y_pion,7647.00,-0.89,32.57
reco_start_z_pion,7647.00,-8.11,35.21
reco_start_x_proton,11270.00,-1.18,35.90
reco_start_y_proton,11270.00,-1.19,33.38
reco_start_z_proton,11270.00,-6.81,36.05
reco_start_x_kaon,3387.00,-3.93,35.83
reco_start_y_kaon,3387.00,0.06,34.48
reco_start_z_kaon,3387.00,-8.10,36.01
reco_nu_vtx_x_CC_LArFV,24627.00,-1.04,35.73
reco_nu_vtx_y_CC_LArFV,24627.00,-0.74,33.28
reco_nu_vtx_z_CC_LArFV,24627.00,-3.48,36.41
true_nu_vtx_x_CC_LArFV,13278.00,-0.62,35.66
true_nu_vtx_y_CC_LArFV,13278.00,-0.80,32.70
true_nu_vtx_z_CC_LArFV,13278.00,-0.25,35.65
