histogram,entries,mean,std_dev
reco_mult_prim_total,1239.00,1.49,0.93
reco_mult_prim_shower,20059.00,1.09,0.77
reco_mult_muon,781.00,1.18,0.48
reco_mult_pion,347.00,1.21,0.47
reco_mult_proton,297.00,1.22,0.52
reco_mult_kaon,128.00,1.13,0.38
reco_length_prim_muon,922.00,34.30,28.63
reco_length_prim_pion,420.00,25.30,21.60
reco_length_prim_proton,362.00,13.94,13.27
reco_length_prim_kaon,145.00,38.41,28.09
reco_energy_prim_muon,922.00,0.16,0.11
reco_energy_prim_pion,420.00,0.10,0.07
reco_energy_prim_proton,362.00,0.13,0.07
reco_energy_prim_kaon,145.00,0.20,0.10
reco_cosTheta_prim_muon,922.00,0.05,0.91
reco_cosTheta_prim_pion,420.00,0.16,0.85
reco_cosTheta_prim_proton,362.00,0.29,0.72
reco_cosTheta_prim_kaon,145.00,-0.03,0.90
reco_start_x_muon,922.00,-0.04,34.77
reco_start_y_muon,922.00,1.39,34.93
reco_start_z_muon,922.00,2.60,37.80
reco_start_x_pion,420.00,-6.64,34.82
reco_start_y_pion,420.00,2.65,32.40
reco_start_z_pion,420.00,-1.69,34.00
reco_start_x_proton,362.00,-3.20,36.55
reco_start_y_proton,362.00,2.85,34.91
reco_start_z_proton,362.00,-2.20,35.32
reco_start_x_kaon,145.00,-7.97,36.61
reco_start_y_kaon,145.00,0.94,33.08
reco_start_z_kaon,145.00,-5.60,32.40
reco_nu_vtx_x_CC_LArFV,1239.00,-3.98,34.69
reco_nu_vtx_y_CC_LArFV,1239.00,3.36,34.33
reco_nu_vtx_z_CC_LArFV,1239.00,0.83,35.77
true_nu_vtx_x_CC_LArFV,0.00,0.00,0.00
true_nu_vtx_y_CC_LArFV,0.00,0.00,0.00
true_nu_vtx_z_CC_LArFV,0.00,0.00,0.00
