Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,113,10.6301,102.37,123.63
6,-54.6,333,18.2483,314.752,351.248
7,-51.8,350,18.7083,331.292,368.708
8,-49,335,18.303,316.697,353.303
9,-46.2,341,18.4662,322.534,359.466
10,-43.4,325,18.0278,306.972,343.028
11,-40.6,324,18,306,342
12,-37.8,291,17.0587,273.941,308.059
13,-35,359,18.9473,340.053,377.947
14,-32.2,311,17.6352,293.365,328.635
15,-29.4,314,17.72,296.28,331.72
16,-26.6,324,18,306,342
17,-23.8,331,18.1934,312.807,349.193
18,-21,379,19.4679,359.532,398.468
19,-18.2,357,18.8944,338.106,375.894
20,-15.4,340,18.4391,321.561,358.439
21,-12.6,313,17.6918,295.308,330.692
22,-9.8,353,18.7883,334.212,371.788
23,-7,336,18.3303,317.67,354.33
24,-4.2,318,17.8326,300.167,335.833
25,-1.4,339,18.412,320.588,357.412
26,1.4,326,18.0555,307.945,344.055
27,4.2,365,19.105,345.895,384.105
28,7,336,18.3303,317.67,354.33
29,9.8,312,17.6635,294.336,329.664
30,12.6,341,18.4662,322.534,359.466
31,15.4,304,17.4356,286.564,321.436
32,18.2,358,18.9209,339.079,376.921
33,21,275,16.5831,258.417,291.583
34,23.8,310,17.6068,292.393,327.607
35,26.6,340,18.4391,321.561,358.439
36,29.4,314,17.72,296.28,331.72
37,32.2,306,17.4929,288.507,323.493
38,35,297,17.2337,279.766,314.234
39,37.8,350,18.7083,331.292,368.708
40,40.6,304,17.4356,286.564,321.436
41,43.4,312,17.6635,294.336,329.664
42,46.2,321,17.9165,303.084,338.916
43,49,283,16.8226,266.177,299.823
44,51.8,309,17.5784,291.422,326.578
45,54.6,303,17.4069,285.593,320.407
46,57.4,126,11.225,114.775,137.225
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
